==========================================================================================
PRICE JUMP PAIR ANALYSIS - ATR + CUSUM + MOMENTUM STRATEGY
==========================================================================================

Configuration:
  Data Directory: /data/quant14/EBY
  Number of Days Processed: 279
  Price Column: Price
  Volatility Feature: PB9_T1
  Price Jump Threshold (Main): ±0.2
  Price Jump Threshold (Addl): ±0.25, ±0.30

Strategy Parameters:
  ATR Window: 20 bars
  ATR Stagnant Threshold: 0.01
  CUSUM Drift: 0.005
  CUSUM Decay: 0.7
  CUSUM EWM Span: 180
  Momentum Window: 10
  Momentum Avg Window: 50
  Momentum Threshold: 0.0

Trading Rules:
  Start Delay: 600.0s (10 min)
  Min Hold: 15.0s
  Min Cooldown: 15.0s
  EOD Square-off: Enabled
==========================================================================================

CATEGORY A: ATR < 0.01 (Always Stagnant)
==========================================================================================
Number of days: 103

Day | P(0.20) | P(0.25) | P(0.30) | T(0.20) | T(0.25) | T(0.30) | Trades | ATR Max  | Price Min | Price Max
 47 |       6 |       3 |       3 | 3562.8 | 7092.0 | 7133.7 |      0 | 0.007461 |     99.07 |    100.02
 49 |       7 |       6 |       3 | 2627.0 | 3045.3 | 5811.0 |      0 | 0.009276 |     98.84 |    100.02
 51 |       4 |       3 |       2 | 5014.5 | 6540.0 | 9720.0 |      0 | 0.006953 |     99.85 |    100.52
 52 |       4 |       4 |       2 | 4800.2 | 4760.2 | 8161.5 |      0 | 0.005727 |     99.94 |    100.49
 53 |       8 |       6 |       4 | 2398.8 | 2844.0 | 4451.0 |      0 | 0.008626 |     99.91 |    100.67
 55 |       6 |       2 |       2 | 2684.8 | 5452.5 | 5374.0 |      0 | 0.006823 |     99.97 |    100.34
 60 |       5 |       3 |       2 | 3274.0 | 5317.7 | 6877.0 |      0 | 0.006156 |     99.79 |    100.26
 63 |       8 |       6 |       5 | 2743.4 | 3708.0 | 3907.8 |      0 | 0.008631 |     99.95 |    101.06
 65 |       2 |       1 |       1 | 7077.5 | 13619.0 | 13630.0 |      0 | 0.007119 |     99.98 |    100.48
 66 |       2 |       1 |       1 | 10349.0 | 5532.0 | 5468.0 |      0 | 0.006322 |     99.87 |    100.25
 67 |       7 |       3 |       3 | 2133.6 | 3972.0 | 4870.7 |      0 | 0.008771 |     99.80 |    100.86
 70 |       8 |       5 |       4 | 2513.1 | 3446.2 | 5105.0 |      0 | 0.007935 |     99.71 |    100.24
 71 |       2 |       2 |       1 | 6107.5 | 8848.0 | 7012.0 |      0 | 0.004961 |     99.90 |    100.48
 73 |       9 |       6 |       3 | 2379.7 | 3574.0 | 6958.0 |      0 | 0.008404 |     99.83 |    100.86
 79 |      10 |       5 |       4 | 2021.9 | 3745.8 | 5130.5 |      0 | 0.009523 |     98.96 |    100.11
 80 |       3 |       3 |       2 | 7065.7 | 3437.0 | 2679.0 |      0 | 0.006971 |     99.87 |    100.23
 81 |       2 |       2 |       1 | 10063.5 | 10311.0 | 18180.0 |      0 | 0.006591 |     99.52 |    100.04
 86 |       4 |       4 |       3 | 5276.8 | 5188.5 | 6743.0 |      0 | 0.006869 |     99.23 |    100.09
 87 |       5 |       3 |       2 | 4349.0 | 7260.3 | 10015.0 |      0 | 0.008017 |     99.76 |    100.38
 88 |       9 |       6 |       3 | 2372.3 | 3559.0 | 4852.3 |      0 | 0.008931 |     99.78 |    101.02
 97 |       3 |       3 |       2 | 4095.7 | 3861.3 | 2997.0 |      0 | 0.007743 |     99.63 |    100.17
100 |       3 |       1 |       1 | 4007.7 | 12020.0 | 11995.0 |      0 | 0.008266 |     99.78 |    100.24
101 |       5 |       5 |       1 | 3672.0 | 3652.8 | 7962.0 |      0 | 0.006613 |     99.87 |    100.36
102 |       6 |       3 |       4 | 3705.8 | 6409.0 | 4667.8 |      0 | 0.009347 |     99.43 |     99.98
106 |       4 |       2 |       2 | 4993.0 | 9986.5 | 9854.0 |      0 | 0.005412 |     99.80 |    100.26
111 |       5 |       3 |       4 | 4265.6 | 7059.7 | 5044.2 |      0 | 0.007061 |     99.51 |    100.00
112 |      11 |       7 |       5 | 1750.6 | 2197.1 | 3088.8 |      0 | 0.009731 |     99.62 |    100.65
114 |       4 |       2 |       1 | 5227.5 | 10592.0 | 17812.0 |      0 | 0.005298 |     99.86 |    100.26
117 |       3 |       1 |       0 | 5546.7 |  823.0 |    0.0 |      0 | 0.008057 |     99.85 |    100.10
118 |      11 |       5 |       3 | 1982.5 | 4148.8 | 5946.0 |      0 | 0.009714 |     99.78 |    100.99
120 |       8 |       4 |       4 | 2433.5 | 4878.0 | 4877.8 |      0 | 0.008716 |     99.65 |    100.46
122 |       6 |       5 |       2 | 3629.5 | 3949.2 | 9141.0 |      0 | 0.008159 |     99.74 |    100.56
124 |       6 |       3 |       3 | 3231.0 | 5824.0 | 6450.7 |      0 | 0.007093 |     99.59 |    100.13
125 |       3 |       3 |       2 | 6188.7 | 5604.3 | 9516.5 |      0 | 0.006508 |     99.32 |    100.02
130 |       7 |       4 |       4 | 3129.0 | 4604.2 | 5276.5 |      0 | 0.008889 |     99.68 |    100.24
131 |       9 |       8 |       6 | 2279.3 | 2589.4 | 3454.5 |      0 | 0.009891 |     99.94 |    100.62
132 |       6 |       5 |       6 | 3547.7 | 3615.0 | 2711.3 |      0 | 0.007375 |     99.42 |    100.00
140 |       3 |       1 |       1 | 6452.3 | 10801.0 | 12929.0 |      0 | 0.006272 |     99.89 |    100.35
142 |       2 |       2 |       1 | 10434.5 | 9387.5 | 17892.0 |      0 | 0.004506 |     99.84 |    100.39
152 |       7 |       5 |       4 | 2025.7 | 2256.0 | 3013.0 |      0 | 0.005987 |     99.91 |    100.72
156 |       6 |       6 |       4 | 3167.0 | 3101.3 | 4827.5 |      0 | 0.009233 |     99.49 |    100.18
163 |       8 |       4 |       1 | 2318.0 | 3527.2 | 12822.0 |      0 | 0.008919 |     99.77 |    100.35
164 |       6 |       6 |       3 | 3236.3 | 3189.2 | 6878.7 |      0 | 0.007870 |     99.31 |    100.05
166 |       5 |       3 |       3 | 4235.6 | 3967.0 | 5293.7 |      0 | 0.006887 |     99.91 |    100.37
170 |       4 |       2 |       1 | 4717.2 | 2380.5 | 4436.0 |      0 | 0.009341 |     99.61 |    100.06
175 |       9 |       8 |       5 | 2163.6 | 2392.0 | 3170.4 |      0 | 0.008229 |     99.99 |    101.31
176 |       7 |       4 |       3 | 3121.6 | 5374.2 | 7052.0 |      0 | 0.009146 |     99.98 |    101.04
178 |       4 |       1 |       1 | 5324.2 | 18465.0 | 18316.0 |      0 | 0.009420 |     99.86 |    100.24
181 |       7 |       5 |       4 | 3174.4 | 4440.6 | 5229.8 |      0 | 0.008853 |     99.49 |    100.35
183 |       2 |       2 |       1 | 8426.0 | 8426.5 | 5459.0 |      0 | 0.007195 |     99.74 |    100.09
191 |       9 |       7 |       6 | 2442.7 | 3154.4 | 3345.3 |      0 | 0.009963 |     99.63 |    100.43
193 |       9 |       6 |       3 | 2386.4 | 3137.5 | 4308.7 |      0 | 0.008013 |     99.16 |    100.03
197 |       4 |       3 |       2 | 5247.5 | 6871.0 | 10173.0 |      0 | 0.009709 |     99.34 |     99.99
198 |       3 |       1 |       3 | 6893.0 | 20705.0 | 6443.0 |      0 | 0.008947 |     99.77 |    100.26
199 |       6 |       3 |       3 | 3341.3 | 5814.7 | 4912.0 |      0 | 0.009134 |     99.93 |    100.54
200 |       6 |       6 |       4 | 3502.5 | 3469.8 | 5174.2 |      0 | 0.009009 |     99.33 |    100.15
204 |       3 |       2 |       2 | 5184.3 | 7835.0 | 7684.0 |      0 | 0.009462 |     99.92 |    100.54
211 |      11 |       5 |       5 | 1849.1 | 3635.6 | 3764.4 |      0 | 0.009243 |     99.90 |    101.03
213 |       5 |       4 |       3 | 4212.0 | 5267.8 | 5295.0 |      0 | 0.007304 |     99.82 |    100.79
214 |       6 |       5 |       4 | 3643.0 | 4377.2 | 4164.5 |      0 | 0.008835 |     99.88 |    100.78
216 |       2 |       5 |       1 | 9907.0 | 3856.4 | 17279.0 |      0 | 0.007840 |     99.81 |    100.15
217 |       9 |       8 |       4 | 2296.7 | 2744.4 | 4908.2 |      0 | 0.009261 |     98.81 |    100.07
221 |       6 |       3 |       2 | 3181.2 | 4527.0 | 3699.0 |      0 | 0.008400 |     99.90 |    100.55
223 |       7 |       7 |       4 | 2958.7 | 3194.9 | 4380.5 |      0 | 0.007676 |     99.79 |    100.79
224 |       7 |       5 |       4 | 2586.6 | 3445.4 | 3606.5 |      0 | 0.008760 |     99.62 |    100.60
227 |       2 |       1 |       1 | 9620.0 | 21212.0 | 20973.0 |      0 | 0.008526 |     99.88 |    100.27
229 |       6 |       3 |       2 | 2760.3 | 5667.7 | 5457.0 |      0 | 0.009987 |     99.43 |    100.20
231 |       2 |       2 |       2 | 10258.0 | 10813.5 | 10693.5 |      0 | 0.008407 |     99.50 |    100.09
233 |       5 |       4 |       3 | 3597.6 | 3344.2 | 1910.0 |      0 | 0.006314 |     99.97 |    100.57
241 |       6 |       4 |       4 | 3444.8 | 4455.0 | 5170.2 |      0 | 0.007677 |     99.94 |    100.29
243 |       6 |       4 |       4 | 3439.2 | 5160.5 | 5159.2 |      0 | 0.009434 |     99.71 |    100.40
245 |       5 |       2 |       2 | 3954.8 | 9603.0 | 9604.0 |      0 | 0.007556 |     99.58 |    100.19
247 |       4 |       3 |       2 | 5253.5 | 7025.3 | 7271.5 |      0 | 0.007149 |     99.99 |    100.75
248 |       8 |       5 |       4 | 2580.6 | 3978.4 | 4686.8 |      0 | 0.008488 |     98.86 |    100.02
249 |       5 |       4 |       3 | 3822.2 | 5000.5 | 4898.7 |      0 | 0.006385 |     99.59 |    100.18
250 |       7 |       2 |       3 | 3152.6 | 10344.0 | 2223.0 |      0 | 0.008330 |     99.99 |    100.52
254 |       3 |       1 |       1 | 3327.7 | 10253.0 | 14446.0 |      0 | 0.007095 |     99.65 |    100.21
255 |       8 |       6 |       6 | 2757.5 | 3679.7 | 3675.3 |      0 | 0.008491 |     99.35 |    100.43
257 |      11 |       7 |       6 | 1875.0 | 3064.0 | 3502.3 |      0 | 0.008140 |     99.99 |    101.82
258 |       5 |       4 |       4 | 4232.2 | 5282.8 | 5304.2 |      0 | 0.008894 |     99.29 |    100.31
267 |       4 |       2 |       1 | 3108.8 | 9288.0 | 11010.0 |      0 | 0.008701 |     99.54 |    100.16
270 |       1 |       1 |       1 | 16452.0 | 17759.0 | 18229.0 |      0 | 0.005049 |     99.80 |    100.28
272 |       6 |       3 |       3 | 3516.7 | 6886.3 | 6898.7 |      0 | 0.006906 |     99.68 |    100.33
273 |       6 |       2 |       1 | 2280.7 | 4961.5 | 6121.0 |      0 | 0.005897 |     99.53 |    100.23
274 |       4 |       2 |       2 | 2950.0 | 2042.5 | 1849.0 |      0 | 0.006837 |     99.97 |    100.30
278 |       2 |       0 |       0 | 3924.0 |    0.0 |    0.0 |      0 | 0.006951 |     99.84 |    100.09

Total pairs (0.20): 573 | Avg (per day): 5.56 | Avg Time (s): 3428.4
Total pairs (0.25): 381 | Avg (per day): 3.70 | Avg Time (s): 4683.7
Total pairs (0.30): 282 | Avg (per day): 2.74 | Avg Time (s): 5749.7
Total trades: 0 | Avg: 0.00

==========================================================================================

CATEGORY B: ATR > 0.01 but Strategy gave NO signals
==========================================================================================
Number of days: 14

Day | P(0.20) | P(0.25) | P(0.30) | T(0.20) | T(0.25) | T(0.30) | Trades | ATR Max  | Price Min | Price Max
----|---------|---------|---------|--------|--------|--------|--------|----------|-----------|----------
 74 |      11 |       5 |       4 | 1735.2 | 3528.0 | 2346.8 |      0 | 0.010343 |     99.80 |    100.42
 83 |       6 |       6 |       4 | 2950.8 | 2946.3 | 3237.5 |      0 | 0.013014 |     99.92 |    100.53
 94 |       8 |       4 |       2 | 2482.9 | 4688.5 | 8999.0 |      0 | 0.010168 |     99.76 |    100.44
 96 |       3 |       3 |       2 | 5853.0 | 5701.3 | 2276.5 |      0 | 0.010704 |     99.75 |    100.19
148 |       9 |       7 |       2 | 2343.6 | 3019.6 | 10338.5 |      0 | 0.013028 |     99.90 |    100.48
154 |       3 |       2 |       2 | 6268.0 | 6568.0 | 5663.5 |      0 | 0.012574 |     99.52 |    100.14
155 |       6 |       2 |       2 | 2033.5 | 2058.0 | 2040.0 |      0 | 0.011548 |     99.98 |    100.54
171 |       3 |       2 |       2 | 6676.3 | 9722.0 | 10710.0 |      0 | 0.013760 |     99.90 |    100.23
180 |       6 |       5 |       3 | 3374.5 | 3554.4 | 5939.7 |      0 | 0.010175 |     99.72 |    100.36
184 |       7 |       4 |       4 | 2345.1 | 3641.8 | 4105.0 |      0 | 0.010804 |     99.41 |    100.39
206 |       7 |       5 |       4 | 3175.9 | 4303.2 | 5553.2 |      0 | 0.013473 |     99.98 |    100.78
232 |       8 |       7 |       4 | 2184.8 | 2564.7 | 4142.8 |      0 | 0.010971 |     99.91 |    100.84
236 |       6 |       5 |       3 | 1078.5 | 1444.8 | 1300.0 |      0 | 0.010077 |     99.99 |    100.78
238 |      12 |       8 |       7 | 1850.2 | 2793.4 | 3159.1 |      0 | 0.010279 |     99.55 |    100.50

Total pairs (0.20): 95 | Avg (per day): 6.79 | Avg Time (s): 2646.2
Total pairs (0.25): 65 | Avg (per day): 4.64 | Avg Time (s): 3544.4
Total pairs (0.30): 45 | Avg (per day): 3.21 | Avg Time (s): 4476.2
Total trades: 0 | Avg: 0.00

==========================================================================================

CATEGORY C: ATR > 0.01 and Strategy gave signals
==========================================================================================
Number of days: 162

Day | P(0.20) | P(0.25) | P(0.30) | T(0.20) | T(0.25) | T(0.30) | Trades | ATR Max  | Price Min | Price Max
----|---------|---------|---------|--------|--------|--------|--------|----------|-----------|----------
  0 |      17 |       7 |       7 | 1229.8 | 2913.0 | 2889.1 |     16 | 0.028059 |     99.50 |    100.47
  1 |      10 |       9 |       7 | 2093.3 | 2442.3 | 3138.0 |      4 | 0.011570 |     99.67 |    100.78
  2 |       9 |       8 |       6 | 2289.2 | 1947.6 | 3173.7 |      9 | 0.012482 |     99.35 |    100.37
  4 |       5 |       4 |       1 | 4090.6 | 4053.2 | 18818.0 |      3 | 0.014632 |     99.85 |    100.30
  5 |      14 |       6 |       6 | 1451.9 | 3442.5 | 3440.8 |      3 | 0.012960 |     99.37 |    100.24
  6 |      25 |      18 |      12 |  827.1 | 1149.7 | 1726.8 |     24 | 0.022999 |     98.91 |    100.59
  7 |      20 |      11 |       8 | 1112.6 | 2024.7 | 2579.0 |      3 | 0.019201 |     99.87 |    100.99
  9 |      16 |       6 |       4 | 1261.4 | 3441.7 | 5161.5 |      1 | 0.010661 |     99.45 |    100.20
 10 |      14 |      13 |      11 | 1172.1 | 1283.3 | 1481.4 |      3 | 0.087750 |     98.72 |    100.40
 14 |      16 |      11 |       5 | 1276.5 | 1704.4 | 3747.8 |      1 | 0.012351 |     99.08 |    100.12
 17 |       7 |       4 |       2 | 2039.4 | 3140.8 | 6293.5 |      3 | 0.016822 |     99.70 |    100.25
 18 |      12 |       8 |       7 | 1514.1 | 2012.0 | 2297.3 |      2 | 0.011840 |     98.92 |    100.14
 19 |      17 |      11 |       9 | 1275.8 | 1890.2 | 2211.0 |      4 | 0.015697 |     98.26 |     99.96
 20 |      21 |      15 |      12 | 1062.5 | 1402.7 | 1550.3 |     16 | 0.022213 |     98.80 |    100.01
 22 |      29 |      22 |      16 |  758.3 | 1016.3 | 1400.3 |     37 | 0.026326 |     99.90 |    102.22
 24 |      11 |       6 |       6 | 1853.4 | 3406.7 | 3385.0 |      4 | 0.011401 |     99.98 |    101.05
 25 |      21 |      15 |      10 | 1026.9 | 1429.4 | 2158.3 |      4 | 0.013808 |     99.09 |    100.80
 28 |      12 |       5 |       4 | 1749.5 | 3749.6 | 4318.8 |      1 | 0.010034 |     99.29 |    100.13
 29 |       9 |       4 |       2 | 2340.0 | 5146.5 | 10321.5 |      3 | 0.012666 |     99.45 |    100.17
 30 |      11 |       8 |       6 | 1980.5 | 2772.6 | 3679.7 |      5 | 0.013898 |     99.54 |    100.78
 31 |      16 |       8 |       6 | 1288.8 | 2508.8 | 3331.5 |      1 | 0.011294 |     99.83 |    101.08
 33 |       7 |       4 |       3 | 3018.1 | 4408.5 | 6878.0 |      1 | 0.010881 |     99.79 |    100.72
 35 |       8 |       7 |       3 | 2608.0 | 2538.3 | 6880.0 |      1 | 0.010417 |     99.74 |    100.37
 37 |       6 |       5 |       3 | 3579.2 | 3492.0 | 5696.3 |      1 | 0.010834 |     99.76 |    100.32
 38 |      13 |      10 |       8 | 1708.7 | 2235.8 | 2635.1 |      6 | 0.017834 |     98.50 |    100.08
 40 |      12 |       6 |       7 | 1653.6 | 3292.5 | 2849.4 |      2 | 0.011736 |     99.76 |    100.87
 42 |      10 |       6 |       6 | 1938.0 | 3225.5 | 3154.7 |      3 | 0.013480 |     98.85 |    100.00
 43 |      12 |      10 |       7 | 1759.8 | 1480.4 | 1926.3 |      3 | 0.011385 |     98.86 |    100.58
 45 |       7 |       5 |       3 | 3046.3 | 4156.2 | 6893.7 |      1 | 0.012332 |    100.01 |    100.63
 46 |       4 |       2 |       2 | 3752.8 | 7383.5 | 7272.5 |      1 | 0.011334 |     99.63 |    100.20
 48 |       4 |       4 |       3 | 5394.5 | 5357.0 | 6793.7 |      2 | 0.010845 |     99.83 |    100.48
 50 |      21 |      14 |       9 | 1022.4 | 1434.8 | 2242.9 |      1 | 0.010327 |     99.92 |    102.13
 54 |      14 |       8 |       6 | 1434.6 | 2644.1 | 3467.5 |      4 | 0.011818 |     99.96 |    100.92
 56 |      18 |      12 |      11 | 1084.5 | 1716.2 | 1508.4 |      9 | 0.017285 |     99.07 |    100.49
 57 |       9 |       6 |       6 | 2365.6 | 3531.0 | 3547.3 |      2 | 0.011748 |     99.41 |    100.08
 58 |      21 |      16 |      12 | 1056.7 | 1382.4 | 1813.7 |     30 | 0.021229 |     99.33 |    100.29
 59 |       6 |       3 |       2 | 3512.0 | 5593.0 | 4697.0 |      2 | 0.013917 |     99.78 |    100.42
 61 |      37 |      22 |      20 |  566.8 |  937.8 | 1038.4 |     68 | 0.019345 |     99.71 |    100.92
 62 |      10 |       5 |       3 | 2100.9 | 4091.4 | 6863.3 |      3 | 0.012337 |     99.14 |    100.26
 64 |       5 |       4 |       3 | 2910.2 | 2130.8 | 2777.3 |      2 | 0.018054 |     99.63 |    100.18
 68 |      12 |      12 |       9 | 1866.2 | 1868.7 | 2280.9 |     12 | 0.017745 |     99.89 |    100.76
 69 |       7 |       5 |       5 | 2661.7 | 2954.6 | 3445.6 |      1 | 0.016026 |     99.92 |    100.95
 72 |      21 |      17 |      10 | 1045.7 | 1198.4 | 2095.5 |     34 | 0.018235 |     98.74 |    100.81
 75 |       6 |       5 |       2 | 3301.2 | 4169.6 | 8443.5 |      1 | 0.010890 |     99.66 |    100.24
 76 |      10 |       9 |       4 | 2100.3 | 2290.3 | 3540.0 |      4 | 0.011858 |     99.73 |    101.09
 77 |      16 |       8 |       7 | 1332.6 | 2427.2 | 2779.4 |      2 | 0.012485 |     99.79 |    101.22
 78 |      14 |      10 |       7 | 1543.7 | 2100.9 | 2954.6 |      3 | 0.014568 |     99.23 |    100.41
 82 |       9 |       7 |       7 | 2315.2 | 2976.6 | 2763.0 |      3 | 0.014002 |     99.59 |    100.54
 84 |       8 |       8 |       5 | 2686.4 | 2580.2 | 3924.6 |      2 | 0.010431 |     99.88 |    100.78
 85 |      12 |      10 |       7 | 1736.2 | 2094.6 | 3028.1 |      1 | 0.011089 |     99.42 |    100.95
 89 |      12 |       8 |       4 | 1802.7 | 2633.9 | 5203.2 |      8 | 0.017084 |     99.45 |    100.56
 90 |      15 |       8 |       6 | 1418.1 | 2652.9 | 2655.3 |      1 | 0.012226 |     99.60 |    100.94
 91 |      19 |       9 |       7 | 1147.3 | 2287.2 | 2902.7 |      5 | 0.011837 |     99.19 |    100.42
 92 |      10 |       9 |       6 | 1971.7 | 2277.6 | 3332.2 |      1 | 0.013021 |     99.83 |    101.17
 93 |       3 |       3 |       3 | 6754.0 | 6483.7 | 5860.3 |      3 | 0.012247 |     99.84 |    100.37
 95 |       9 |       7 |       7 | 2361.1 | 3031.9 | 3038.9 |      6 | 0.013155 |     99.59 |    100.35
 98 |       9 |       3 |       4 | 1802.7 | 5351.3 | 3998.2 |      8 | 0.025675 |     99.27 |    100.24
 99 |       4 |       4 |       3 | 4625.2 | 4605.0 |  898.3 |      1 | 0.012825 |     99.41 |    100.01
103 |       0 |       0 |       0 |    0.0 |    0.0 |    0.0 |      2 | 0.017089 |    100.01 |    100.18
104 |     323 |     221 |     175 |   67.4 |   99.1 |  126.1 |    542 | 0.371336 |     91.42 |    100.50
105 |       7 |       5 |       5 | 3031.3 | 4079.4 | 4154.0 |      4 | 0.020444 |    100.00 |    100.91
107 |      19 |      15 |       9 | 1142.5 | 1412.7 | 2304.7 |      1 | 0.010160 |    100.00 |    101.43
108 |       9 |       6 |       6 | 2350.7 | 3026.5 | 2992.0 |      6 | 0.017090 |     99.63 |    100.77
109 |       4 |       4 |       3 | 4604.8 | 3066.8 | 7263.7 |      1 | 0.012728 |     99.96 |    100.68
110 |      76 |      47 |      33 |  287.2 |  465.2 |  669.5 |    247 | 0.026287 |     98.75 |    102.88
113 |       6 |       5 |       3 | 3637.0 | 4234.2 | 7351.0 |      2 | 0.010766 |     99.70 |    100.35
115 |      37 |      18 |      18 |  575.8 | 1152.4 | 1170.7 |     43 | 0.037913 |     98.20 |    100.12
116 |      10 |       8 |       7 | 1999.4 | 2594.5 | 2953.4 |      1 | 0.011563 |     99.91 |    101.10
119 |      10 |       2 |       2 | 1623.2 | 8135.0 | 7744.0 |      1 | 0.016151 |     99.78 |    100.49
121 |       4 |       2 |       2 | 5357.0 | 4929.0 | 4928.5 |      5 | 0.014826 |     99.58 |    100.15
123 |      25 |      18 |      11 |  875.0 | 1212.8 | 1851.2 |     15 | 0.015252 |     98.36 |    100.07
126 |      20 |      15 |       8 | 1091.0 | 1420.2 | 2283.6 |      4 | 0.013193 |     99.16 |    100.25
127 |      29 |      21 |      14 |  722.1 |  995.6 | 1454.9 |     24 | 0.018036 |     98.95 |    100.38
128 |      15 |       8 |       9 | 1433.1 | 2692.9 | 2369.8 |     10 | 0.014069 |     99.52 |    101.00
129 |      12 |       8 |       6 | 1813.3 | 2723.1 | 3076.8 |      6 | 0.016157 |     99.22 |    100.21
133 |       5 |       6 |       4 | 4166.8 | 3494.2 | 5074.8 |      1 | 0.010098 |     99.43 |    100.06
134 |      23 |      12 |      13 |  963.8 | 1858.6 | 1717.4 |     35 | 0.017330 |     99.59 |    100.96
135 |      23 |      19 |      14 |  951.9 | 1152.5 | 1561.6 |     54 | 0.025095 |     98.43 |    100.61
136 |      11 |      10 |       6 | 1977.6 | 2056.6 | 3592.8 |      1 | 0.010083 |     99.19 |    100.19
137 |      12 |      11 |      10 | 1518.0 | 1670.8 | 1835.1 |      7 | 0.020202 |     99.68 |    101.26
138 |      15 |      12 |       6 | 1438.4 | 1795.0 | 3591.8 |      7 | 0.020707 |     99.45 |    100.71
139 |      16 |       6 |       4 | 1348.7 | 3599.7 | 5408.5 |      2 | 0.013136 |     99.57 |    100.29
141 |       8 |      10 |       7 | 2764.6 | 2217.6 | 3143.3 |      1 | 0.013143 |     99.65 |    100.77
143 |      14 |      10 |      10 | 1498.5 | 2235.9 | 2240.0 |     13 | 0.024582 |     99.70 |    100.64
144 |       8 |       5 |       5 | 2497.1 | 4133.0 | 3890.6 |     19 | 0.023977 |     99.62 |    100.22
145 |      15 |       6 |       6 | 1485.5 | 3371.0 | 3363.3 |      2 | 0.011536 |     99.27 |     99.99
146 |       2 |       2 |       2 | 10103.0 | 9934.5 | 6106.0 |      1 | 0.011308 |     99.89 |    100.36
147 |      18 |      10 |       9 | 1226.3 | 2114.3 | 2039.7 |      5 | 0.012078 |     99.75 |    100.97
149 |      14 |      12 |       9 | 1558.3 | 1818.0 | 2216.1 |      5 | 0.013967 |     99.13 |    100.44
150 |       8 |       6 |       6 | 2623.1 | 2511.2 | 2420.2 |      5 | 0.017735 |     99.53 |    100.33
151 |      26 |      12 |      14 |  792.4 | 1674.0 | 1295.6 |     38 | 0.026245 |     99.31 |    100.45
153 |      12 |       7 |       3 | 1689.6 | 3098.6 | 6052.7 |      4 | 0.019778 |     99.79 |    101.05
157 |       8 |       8 |       5 | 2612.0 | 2602.8 | 4094.4 |      1 | 0.011191 |     99.59 |    100.37
158 |      24 |      17 |      13 |  854.6 | 1259.0 | 1640.5 |     33 | 0.018595 |     99.13 |    100.60
159 |      12 |       5 |       3 | 1751.8 | 4158.8 | 7010.3 |      2 | 0.013844 |     99.39 |    100.23
