====================================================================================================
PRICE FLUCTUATION (≥ 0.3) — TIME-FILTERED TRADES (≥ 15s duration + 15s cooldown)
REGIME: First KAMA SLOPE ABS >= THRESHOLD
====================================================================================================

KAMA Window: 30 | KAMA Slope Threshold: 0.0008
Min Trade Duration: 5s | Cooldown: 5s
Days Processed: 510 / 510

====================================================================================================
SECTION A — Days where KAMA Slope >= Threshold (Active Regime)
====================================================================================================
Day | KAMA @Index | KAMA_Slope | Considered | Missed | Total | Price Min | Price Max
262 |       15182 |   0.000853 |           2 |      5 |      7 |     99.86 |    101.23
267 |        7178 |   0.000842 |           7 |      4 |     11 |     98.73 |    100.12
273 |         561 |   0.000802 |          64 |      2 |     66 |     96.24 |    100.18
275 |        7486 |   0.000851 |           3 |      4 |      7 |     98.86 |    100.19
290 |        1745 |   0.000840 |          17 |      2 |     19 |     98.76 |    101.03
298 |        4237 |   0.000944 |           4 |      4 |      8 |     99.61 |    101.25
305 |        1852 |   0.000818 |           7 |      2 |      9 |     98.89 |    100.11
304 |       10322 |   0.000865 |           7 |      9 |     16 |     99.31 |    101.16
320 |        2966 |   0.000826 |           5 |      3 |      8 |     99.05 |    100.09
311 |        1827 |   0.000818 |          88 |     12 |    100 |     95.64 |    100.10
318 |       23210 |   0.000885 |           1 |      3 |      4 |     98.83 |    100.18
323 |        2262 |   0.000809 |          14 |      2 |     16 |     99.72 |    101.99
336 |       14977 |   0.000813 |           3 |      3 |      6 |     99.27 |    100.36
335 |        3356 |   0.000817 |           7 |      3 |     10 |     98.74 |    100.13
343 |        6597 |   0.000935 |          12 |      4 |     16 |     99.99 |    101.93
331 |        7818 |   0.000838 |          12 |     13 |     25 |     98.24 |    100.08
337 |        8488 |   0.000848 |           6 |      2 |      8 |     98.67 |    100.17
350 |       20254 |   0.000806 |           5 |      8 |     13 |     99.80 |    101.45
372 |        2617 |   0.000824 |          10 |      2 |     12 |     98.59 |    101.39
358 |        4659 |   0.000822 |          10 |      5 |     15 |     97.58 |    100.36
366 |        1788 |   0.000827 |           7 |      2 |      9 |     99.04 |    100.03
367 |       23044 |   0.000836 |           1 |     13 |     14 |     99.55 |    101.65
385 |       15334 |   0.000860 |           3 |      5 |      8 |     99.45 |    100.74
383 |        8580 |   0.000870 |           2 |      3 |      5 |     99.95 |    101.52
389 |        1765 |   0.000848 |          12 |      3 |     15 |     97.91 |    100.14
408 |       19352 |   0.000816 |           4 |      4 |      8 |     98.71 |    100.41
410 |       18440 |   0.000960 |           3 |      4 |      7 |     99.53 |    100.69
421 |        5853 |   0.000806 |          63 |     14 |     77 |     93.74 |    100.59
419 |       20731 |   0.000842 |           3 |      9 |     12 |     99.41 |    101.91
442 |        5751 |   0.000812 |           2 |      3 |      5 |     98.25 |    100.12
446 |       18712 |   0.000864 |           9 |      4 |     13 |     97.01 |    100.40
456 |        1749 |   0.000804 |           7 |      2 |      9 |    100.02 |    101.45
448 |        3016 |   0.000800 |          15 |      3 |     18 |     98.23 |    100.25
477 |        1806 |   0.000851 |           7 |      3 |     10 |     99.96 |    101.36
488 |        9693 |   0.000849 |           2 |      6 |      8 |     99.32 |    100.85
507 |       22939 |   0.000821 |           1 |      7 |      8 |     99.01 |    100.73
498 |        2304 |   0.000882 |           6 |      2 |      8 |     99.11 |    100.36
492 |        5222 |   0.000857 |          12 |      5 |     17 |     98.53 |    100.20
504 |        1799 |   0.000839 |          16 |      2 |     18 |     99.95 |    102.22
502 |       10541 |   0.000806 |           2 |      4 |      6 |     99.96 |    100.96

Days with KAMA Cross: 79
Total Considered Pairs: 948
Average Considered/Day: 12.00

====================================================================================================

====================================================================================================
SECTION B — Days where KAMA Slope < Threshold (No Active Regime)
====================================================================================================
Day | KAMA @Index | KAMA_Slope | Considered | Missed | Total | Price Min | Price Max
----|-------------|-----------|-------------|--------|--------|-----------|----------
 11 |         N/A |   0.000000 |           0 |      9 |      9 |     98.81 |    100.09
 12 |         N/A |   0.000000 |           0 |      2 |      2 |     99.68 |    100.28
 10 |         N/A |   0.000000 |           0 |      6 |      6 |     99.25 |    100.45
  2 |         N/A |   0.000000 |           0 |      2 |      2 |     99.66 |    100.25
 17 |         N/A |   0.000000 |           0 |      6 |      6 |     99.15 |    100.52
 19 |         N/A |   0.000000 |           0 |      7 |      7 |     99.93 |    100.74
  6 |         N/A |   0.000000 |           0 |      8 |      8 |     99.62 |    100.70
  4 |         N/A |   0.000000 |           0 |      5 |      5 |     98.98 |    100.10
 20 |         N/A |   0.000000 |           0 |      5 |      5 |     99.48 |    100.74
  1 |         N/A |   0.000000 |           0 |      1 |      1 |     99.88 |    100.36
  9 |         N/A |   0.000000 |           0 |      1 |      1 |     99.76 |    100.11
  3 |         N/A |   0.000000 |           0 |      2 |      2 |     99.99 |    100.63
 18 |         N/A |   0.000000 |           0 |      2 |      2 |     99.78 |    100.30
 13 |         N/A |   0.000000 |           0 |      5 |      5 |     99.92 |    100.76
 16 |         N/A |   0.000000 |           0 |      3 |      3 |     99.56 |    100.05
 15 |         N/A |   0.000000 |           0 |      3 |      3 |     99.97 |    100.47
 22 |         N/A |   0.000000 |           0 |      5 |      5 |     99.27 |    100.23
  7 |         N/A |   0.000000 |           0 |      3 |      3 |     99.71 |    100.15
  0 |         N/A |   0.000000 |           0 |      7 |      7 |     99.39 |    100.20
 23 |         N/A |   0.000000 |           0 |      2 |      2 |     99.75 |    100.63
  8 |         N/A |   0.000000 |           0 |      5 |      5 |     99.94 |    100.56
 24 |         N/A |   0.000000 |           0 |      1 |      1 |     99.98 |    100.37
 46 |         N/A |   0.000000 |           0 |      2 |      2 |     99.97 |    100.66
 48 |         N/A |   0.000000 |           0 |      4 |      4 |     99.78 |    100.26
 40 |         N/A |   0.000000 |           0 |      3 |      3 |     99.78 |    100.66
 37 |         N/A |   0.000000 |           0 |      2 |      2 |     99.78 |    100.22
 45 |         N/A |   0.000000 |           0 |      1 |      1 |     99.59 |    100.21
 43 |         N/A |   0.000000 |           0 |      4 |      4 |    100.00 |    100.74
 47 |         N/A |   0.000000 |           0 |      2 |      2 |     99.71 |    100.25
 34 |         N/A |   0.000000 |           0 |      5 |      5 |     99.23 |    100.09
 39 |         N/A |   0.000000 |           0 |      6 |      6 |     99.79 |    100.57
 41 |         N/A |   0.000000 |           0 |      3 |      3 |     99.78 |    100.53
 42 |         N/A |   0.000000 |           0 |      1 |      1 |     99.97 |    100.43
 31 |         N/A |   0.000000 |           0 |      3 |      3 |     99.86 |    100.55
 38 |         N/A |   0.000000 |           0 |      4 |      4 |     99.37 |    100.24
 25 |         N/A |   0.000000 |           0 |      2 |      2 |     99.92 |    100.79
 27 |         N/A |   0.000000 |           0 |      2 |      2 |     99.92 |    100.51
 35 |         N/A |   0.000000 |           0 |      5 |      5 |     99.92 |    101.12
 29 |         N/A |   0.000000 |           0 |      3 |      3 |     99.44 |    100.03
 32 |         N/A |   0.000000 |           0 |      7 |      7 |     99.54 |    100.46
 26 |         N/A |   0.000000 |           0 |      3 |      3 |     99.70 |    100.23
 50 |         N/A |   0.000000 |           0 |      3 |      3 |     99.68 |    100.36
 30 |         N/A |   0.000000 |           0 |      5 |      5 |     98.85 |    100.02
 51 |         N/A |   0.000000 |           0 |     17 |     17 |     99.35 |    100.73
 56 |         N/A |   0.000000 |           0 |      3 |      3 |     99.67 |    100.38
 58 |         N/A |   0.000000 |           0 |      9 |      9 |     99.06 |    100.25
 53 |         N/A |   0.000000 |           0 |      4 |      4 |     99.89 |    100.73
 52 |         N/A |   0.000000 |           0 |      3 |      3 |     99.61 |    100.25
 57 |         N/A |   0.000000 |           0 |      1 |      1 |     99.91 |    100.23
 60 |         N/A |   0.000000 |           0 |      1 |      1 |     99.55 |    100.12
 55 |         N/A |   0.000000 |           0 |      9 |      9 |     99.96 |    101.20
 59 |         N/A |   0.000000 |           0 |      5 |      5 |     99.67 |    100.25
 61 |         N/A |   0.000000 |           0 |      6 |      6 |     99.69 |    100.87
 62 |         N/A |   0.000000 |           0 |      2 |      2 |     99.99 |    100.66
 63 |         N/A |   0.000000 |           0 |      9 |      9 |     99.36 |    100.20
 64 |         N/A |   0.000000 |           0 |      1 |      1 |     99.82 |    100.14
 67 |         N/A |   0.000000 |           0 |      6 |      6 |     99.79 |    100.69
 65 |         N/A |   0.000000 |           0 |      6 |      6 |     99.33 |    100.12
 75 |         N/A |   0.000000 |           0 |      2 |      2 |     99.80 |    100.24
 73 |         N/A |   0.000000 |           0 |      1 |      1 |     99.81 |    100.12
 74 |         N/A |   0.000000 |           0 |      3 |      3 |     99.38 |     99.98
 69 |         N/A |   0.000000 |           0 |      0 |      0 |     99.97 |    100.24
 68 |         N/A |   0.000000 |           0 |      3 |      3 |     99.14 |    100.06
 76 |         N/A |   0.000000 |           0 |      1 |      1 |     99.53 |    100.09
 66 |         N/A |   0.000000 |           0 |      2 |      2 |     99.80 |    100.33
 81 |         N/A |   0.000000 |           0 |      1 |      1 |     99.82 |    100.35
 79 |         N/A |   0.000000 |           0 |      1 |      1 |     99.63 |    100.02
 70 |         N/A |   0.000000 |           0 |      4 |      4 |     99.48 |    100.72
 94 |         N/A |   0.000000 |           0 |      7 |      7 |     99.78 |    100.62
 71 |         N/A |   0.000000 |           0 |      3 |      3 |     99.75 |    100.57
 80 |         N/A |   0.000000 |           0 |      1 |      1 |     99.89 |    100.23
 72 |         N/A |   0.000000 |           0 |      2 |      2 |     99.97 |    100.54
 77 |         N/A |   0.000000 |           0 |      1 |      1 |     99.76 |    100.07
105 |         N/A |   0.000000 |           0 |      5 |      5 |     98.43 |    100.03
102 |         N/A |   0.000000 |           0 |      3 |      3 |     99.83 |    100.22
104 |         N/A |   0.000000 |           0 |      2 |      2 |     99.85 |    100.78
106 |         N/A |   0.000000 |           0 |      4 |      4 |     99.30 |    100.07
 78 |         N/A |   0.000000 |           0 |      1 |      1 |     99.82 |    100.40
103 |         N/A |   0.000000 |           0 |      1 |      1 |     99.74 |    100.11
 95 |         N/A |   0.000000 |           0 |      2 |      2 |     99.91 |    100.51
101 |         N/A |   0.000000 |           0 |      2 |      2 |     99.96 |    100.80
109 |         N/A |   0.000000 |           0 |      7 |      7 |     99.38 |    100.27
 99 |         N/A |   0.000000 |           0 |      2 |      2 |     99.45 |    100.13
 82 |         N/A |   0.000000 |           0 |      2 |      2 |     99.95 |    100.51
 88 |         N/A |   0.000000 |           0 |      5 |      5 |     99.99 |    100.78
 86 |         N/A |   0.000000 |           0 |      4 |      4 |     99.46 |    100.06
 84 |         N/A |   0.000000 |           0 |      7 |      7 |     98.79 |    100.00
126 |         N/A |   0.000000 |           0 |      3 |      3 |     99.97 |    100.49
 91 |         N/A |   0.000000 |           0 |      4 |      4 |     99.36 |    100.30
128 |         N/A |   0.000000 |           0 |      7 |      7 |     99.49 |    100.74
127 |         N/A |   0.000000 |           0 |      4 |      4 |     99.75 |    100.47
129 |         N/A |   0.000000 |           0 |      4 |      4 |     99.66 |    100.63
130 |         N/A |   0.000000 |           0 |      2 |      2 |     99.53 |    100.07
132 |         N/A |   0.000000 |           0 |     11 |     11 |     99.20 |    100.75
131 |         N/A |   0.000000 |           0 |      3 |      3 |     99.71 |    100.27
133 |         N/A |   0.000000 |           0 |      1 |      1 |     99.86 |    100.54
 90 |         N/A |   0.000000 |           0 |     12 |     12 |     99.95 |    101.00
138 |         N/A |   0.000000 |           0 |      6 |      6 |     98.59 |    100.15
 92 |         N/A |   0.000000 |           0 |      5 |      5 |     99.83 |    100.45
100 |         N/A |   0.000000 |           0 |      2 |      2 |     99.77 |    100.43
 93 |         N/A |   0.000000 |           0 |      3 |      3 |     99.89 |    100.48
 89 |         N/A |   0.000000 |           0 |      6 |      6 |     99.45 |    100.15
111 |         N/A |   0.000000 |           0 |      2 |      2 |     99.76 |    100.71
114 |         N/A |   0.000000 |           0 |      2 |      2 |     99.67 |    100.25
113 |         N/A |   0.000000 |           0 |      2 |      2 |     99.59 |    100.10
120 |         N/A |   0.000000 |           0 |      2 |      2 |    100.00 |    100.71
112 |         N/A |   0.000000 |           0 |      1 |      1 |     99.94 |    100.37
116 |         N/A |   0.000000 |           0 |      4 |      4 |     99.53 |    100.11
115 |         N/A |   0.000000 |           0 |      6 |      6 |     99.09 |    100.13
135 |         N/A |   0.000000 |           0 |      8 |      8 |     99.36 |    100.41
121 |         N/A |   0.000000 |           0 |      3 |      3 |     99.83 |    100.86
110 |         N/A |   0.000000 |           0 |      1 |      1 |     99.89 |    100.51
118 |         N/A |   0.000000 |           0 |      4 |      4 |     99.67 |    100.60
119 |         N/A |   0.000000 |           0 |      1 |      1 |     99.58 |    100.25
122 |         N/A |   0.000000 |           0 |      1 |      1 |     99.84 |    100.32
117 |         N/A |   0.000000 |           0 |     15 |     15 |     98.61 |    100.27
123 |         N/A |   0.000000 |           0 |      2 |      2 |     99.86 |    100.53
143 |         N/A |   0.000000 |           0 |      2 |      2 |     99.49 |    100.26
160 |         N/A |   0.000000 |           0 |      4 |      4 |     99.67 |    100.45
134 |         N/A |   0.000000 |           0 |      2 |      2 |     99.54 |    100.16
141 |         N/A |   0.000000 |           0 |      1 |      1 |     99.74 |    100.24
142 |         N/A |   0.000000 |           0 |      3 |      3 |     99.63 |    100.17
145 |         N/A |   0.000000 |           0 |      4 |      4 |     99.44 |    100.30
144 |         N/A |   0.000000 |           0 |      3 |      3 |     99.46 |    100.26
140 |         N/A |   0.000000 |           0 |      2 |      2 |     99.83 |    100.23
146 |         N/A |   0.000000 |           0 |      3 |      3 |     99.61 |    100.40
150 |         N/A |   0.000000 |           0 |      9 |      9 |     99.18 |    100.52
156 |         N/A |   0.000000 |           0 |      4 |      4 |     99.05 |    100.10
157 |         N/A |   0.000000 |           0 |      4 |      4 |     99.40 |    100.12
149 |         N/A |   0.000000 |           0 |      1 |      1 |     99.80 |    100.10
159 |         N/A |   0.000000 |           0 |      4 |      4 |     99.53 |    100.25
155 |         N/A |   0.000000 |           0 |      2 |      2 |     99.91 |    100.78
154 |         N/A |   0.000000 |           0 |      2 |      2 |     99.71 |    100.17
153 |         N/A |   0.000000 |           0 |      6 |      6 |     99.90 |    100.88
147 |         N/A |   0.000000 |           0 |      3 |      3 |     99.61 |    100.22
148 |         N/A |   0.000000 |           0 |      6 |      6 |     99.42 |    100.44
151 |         N/A |   0.000000 |           0 |      2 |      2 |     99.55 |    100.05
152 |         N/A |   0.000000 |           0 |      4 |      4 |     99.89 |    101.08
158 |         N/A |   0.000000 |           0 |      4 |      4 |     99.89 |    100.64
163 |         N/A |   0.000000 |           0 |      4 |      4 |     99.91 |    100.90
170 |         N/A |   0.000000 |           0 |      4 |      4 |     99.93 |    101.01
164 |         N/A |   0.000000 |           0 |      1 |      1 |    100.00 |    100.45
165 |         N/A |   0.000000 |           0 |      3 |      3 |     99.73 |    100.42
167 |         N/A |   0.000000 |           0 |      5 |      5 |     99.94 |    101.08
168 |         N/A |   0.000000 |           0 |      7 |      7 |     98.61 |    100.22
172 |         N/A |   0.000000 |           0 |      5 |      5 |     99.62 |    100.52
162 |         N/A |   0.000000 |           0 |      5 |      5 |     99.49 |    100.23
183 |         N/A |   0.000000 |           0 |      5 |      5 |     99.06 |    100.16
179 |         N/A |   0.000000 |           0 |      9 |      9 |     99.03 |    100.06
175 |         N/A |   0.000000 |           0 |      5 |      5 |     99.06 |    100.03
178 |         N/A |   0.000000 |           0 |      7 |      7 |     99.56 |    100.95
177 |         N/A |   0.000000 |           0 |      5 |      5 |     99.32 |    100.09
184 |         N/A |   0.000000 |           0 |      3 |      3 |     99.61 |    100.31
176 |         N/A |   0.000000 |           0 |      2 |      2 |     99.39 |    100.20
174 |         N/A |   0.000000 |           0 |      2 |      2 |     99.68 |    100.29
182 |         N/A |   0.000000 |           0 |      6 |      6 |     99.92 |    101.66
180 |         N/A |   0.000000 |           0 |      5 |      5 |     99.49 |    100.43
188 |         N/A |   0.000000 |           0 |      2 |      2 |     99.87 |    100.41
185 |         N/A |   0.000000 |           0 |      8 |      8 |     99.97 |    100.97
191 |         N/A |   0.000000 |           0 |      2 |      2 |     99.51 |    100.03
190 |         N/A |   0.000000 |           0 |      2 |      2 |     99.64 |    100.11
187 |         N/A |   0.000000 |           0 |     10 |     10 |     99.00 |    100.31
189 |         N/A |   0.000000 |           0 |     12 |     12 |     99.38 |    100.73
194 |         N/A |   0.000000 |           0 |      2 |      2 |     99.91 |    100.62
196 |         N/A |   0.000000 |           0 |      3 |      3 |     99.99 |    101.05
198 |         N/A |   0.000000 |           0 |      2 |      2 |     99.82 |    100.45
192 |         N/A |   0.000000 |           0 |      7 |      7 |     98.54 |    100.00
195 |         N/A |   0.000000 |           0 |      3 |      3 |     99.54 |    100.54
193 |         N/A |   0.000000 |           0 |      5 |      5 |     99.73 |    100.14
200 |         N/A |   0.000000 |           0 |      8 |      8 |     98.89 |    100.16
210 |         N/A |   0.000000 |           0 |      4 |      4 |     98.96 |    100.09
199 |         N/A |   0.000000 |           0 |      3 |      3 |     99.15 |    100.02
201 |         N/A |   0.000000 |           0 |      6 |      6 |     99.51 |    100.60
213 |         N/A |   0.000000 |           0 |      2 |      2 |     99.39 |    100.21
211 |         N/A |   0.000000 |           0 |      4 |      4 |     99.37 |    100.17
203 |         N/A |   0.000000 |           0 |      2 |      2 |     99.50 |    100.15
206 |         N/A |   0.000000 |           0 |      2 |      2 |     99.73 |    100.84
212 |         N/A |   0.000000 |           0 |      3 |      3 |     99.05 |    100.01
209 |         N/A |   0.000000 |           0 |      4 |      4 |     99.48 |    100.24
207 |         N/A |   0.000000 |           0 |      6 |      6 |     99.34 |    100.77
217 |         N/A |   0.000000 |           0 |      2 |      2 |     99.73 |    100.18
215 |         N/A |   0.000000 |           0 |      6 |      6 |     99.89 |    100.64
224 |         N/A |   0.000000 |           0 |      5 |      5 |     99.23 |    100.25
219 |         N/A |   0.000000 |           0 |      4 |      4 |     99.95 |    100.78
214 |         N/A |   0.000000 |           0 |      1 |      1 |     99.67 |    100.05
222 |         N/A |   0.000000 |           0 |      2 |      2 |     99.47 |    100.09
223 |         N/A |   0.000000 |           0 |      3 |      3 |     99.83 |    100.97
225 |         N/A |   0.000000 |           0 |      1 |      1 |     99.92 |    100.54
218 |         N/A |   0.000000 |           0 |      2 |      2 |     99.82 |    100.40
220 |         N/A |   0.000000 |           0 |      2 |      2 |     99.82 |    100.24
229 |         N/A |   0.000000 |           0 |      1 |      1 |     99.89 |    100.21
234 |         N/A |   0.000000 |           0 |      2 |      2 |     99.59 |    100.07
238 |         N/A |   0.000000 |           0 |      2 |      2 |     99.96 |    100.38
228 |         N/A |   0.000000 |           0 |      1 |      1 |     99.76 |    100.07
216 |         N/A |   0.000000 |           0 |      0 |      0 |     99.84 |    100.10
227 |         N/A |   0.000000 |           0 |      5 |      5 |     99.47 |    100.43
221 |         N/A |   0.000000 |           0 |      9 |      9 |     99.18 |    100.29
241 |         N/A |   0.000000 |           0 |      4 |      4 |     99.79 |    100.58
226 |         N/A |   0.000000 |           0 |      3 |      3 |     99.97 |    100.93
232 |         N/A |   0.000000 |           0 |      7 |      7 |     99.59 |    100.65
233 |         N/A |   0.000000 |           0 |      3 |      3 |     99.98 |    100.60
235 |         N/A |   0.000000 |           0 |      2 |      2 |     99.78 |    100.24
231 |         N/A |   0.000000 |           0 |      3 |      3 |    100.00 |    100.61
237 |         N/A |   0.000000 |           0 |      2 |      2 |     99.49 |    100.25
256 |         N/A |   0.000000 |           0 |      1 |      1 |     99.84 |    100.15
243 |         N/A |   0.000000 |           0 |      5 |      5 |     99.64 |    100.39
240 |         N/A |   0.000000 |           0 |      5 |      5 |     98.85 |    100.08
244 |         N/A |   0.000000 |           0 |      3 |      3 |     99.88 |    100.47
246 |         N/A |   0.000000 |           0 |      4 |      4 |     99.69 |    100.23
260 |         N/A |   0.000000 |           0 |      8 |      8 |     99.94 |    100.55
249 |         N/A |   0.000000 |           0 |      1 |      1 |     99.82 |    100.36
252 |         N/A |   0.000000 |           0 |      2 |      2 |     99.48 |    100.13
250 |         N/A |   0.000000 |           0 |      2 |      2 |     99.82 |    100.59
261 |         N/A |   0.000000 |           0 |      4 |      4 |     99.78 |    100.48
265 |         N/A |   0.000000 |           0 |     10 |     10 |     99.31 |    100.41
245 |         N/A |   0.000000 |           0 |      3 |      3 |    100.00 |    100.95
248 |         N/A |   0.000000 |           0 |      4 |      4 |     99.84 |    100.37
255 |         N/A |   0.000000 |           0 |      9 |      9 |     99.07 |    100.15
251 |         N/A |   0.000000 |           0 |      2 |      2 |     99.85 |    100.22
257 |         N/A |   0.000000 |           0 |      1 |      1 |     99.51 |    100.07
247 |         N/A |   0.000000 |           0 |      4 |      4 |     99.77 |    100.40
259 |         N/A |   0.000000 |           0 |      5 |      5 |     99.87 |    100.36
254 |         N/A |   0.000000 |           0 |      5 |      5 |     99.82 |    100.89
258 |         N/A |   0.000000 |           0 |      3 |      3 |     99.89 |    100.50
264 |         N/A |   0.000000 |           0 |      3 |      3 |     99.66 |    100.23
263 |         N/A |   0.000000 |           0 |      2 |      2 |     99.62 |    100.25
268 |         N/A |   0.000000 |           0 |      9 |      9 |     98.82 |    100.22
266 |         N/A |   0.000000 |           0 |      3 |      3 |     99.99 |    100.94
272 |         N/A |   0.000000 |           0 |      3 |      3 |     99.88 |    100.62
270 |         N/A |   0.000000 |           0 |      9 |      9 |     99.04 |    100.09
269 |         N/A |   0.000000 |           0 |      1 |      1 |     99.75 |    100.12
271 |         N/A |   0.000000 |           0 |      5 |      5 |     99.99 |    100.98
274 |         N/A |   0.000000 |           0 |      3 |      3 |     99.72 |    100.38
279 |         N/A |   0.000000 |           0 |      4 |      4 |     99.77 |    100.42
277 |         N/A |   0.000000 |           0 |      3 |      3 |     99.53 |    100.16
286 |         N/A |   0.000000 |           0 |      8 |      8 |     99.32 |    100.65
289 |         N/A |   0.000000 |           0 |      2 |      2 |     99.56 |    100.15
287 |         N/A |   0.000000 |           0 |      5 |      5 |     99.32 |    100.20
276 |         N/A |   0.000000 |           0 |      2 |      2 |     99.95 |    100.55
283 |         N/A |   0.000000 |           0 |      6 |      6 |     99.32 |    100.61
278 |         N/A |   0.000000 |           0 |      4 |      4 |     99.63 |    100.66
294 |         N/A |   0.000000 |           0 |      1 |      1 |     99.86 |    100.42
284 |         N/A |   0.000000 |           0 |      8 |      8 |     99.55 |    100.70
282 |         N/A |   0.000000 |           0 |      4 |      4 |     99.42 |    100.72
280 |         N/A |   0.000000 |           0 |      5 |      5 |     99.98 |    101.05
281 |         N/A |   0.000000 |           0 |      4 |      4 |     99.69 |    100.51
293 |         N/A |   0.000000 |           0 |      3 |      3 |     99.88 |    100.82
285 |         N/A |   0.000000 |           0 |      8 |      8 |     99.68 |    100.90
301 |         N/A |   0.000000 |           0 |      2 |      2 |     99.82 |    100.52
297 |         N/A |   0.000000 |           0 |      2 |      2 |     99.72 |    100.33
288 |         N/A |   0.000000 |           0 |      2 |      2 |     99.81 |    100.22
291 |         N/A |   0.000000 |           0 |      0 |      0 |     99.94 |    100.20
295 |         N/A |   0.000000 |           0 |      6 |      6 |     99.74 |    100.63
299 |         N/A |   0.000000 |           0 |      4 |      4 |     99.67 |    100.63
292 |         N/A |   0.000000 |           0 |      1 |      1 |     99.84 |    100.14
296 |         N/A |   0.000000 |           0 |      3 |      3 |     99.57 |    100.31
300 |         N/A |   0.000000 |           0 |      5 |      5 |     99.93 |    101.19
303 |         N/A |   0.000000 |           0 |      4 |      4 |     99.56 |    100.21
302 |         N/A |   0.000000 |           0 |      2 |      2 |     99.30 |    100.17
306 |         N/A |   0.000000 |           0 |      5 |      5 |     98.84 |    100.06
312 |         N/A |   0.000000 |           0 |      3 |      3 |     99.52 |    100.29
317 |         N/A |   0.000000 |           0 |      3 |      3 |     99.56 |    100.22
309 |         N/A |   0.000000 |           0 |      2 |      2 |    100.01 |    100.57
326 |         N/A |   0.000000 |           0 |      2 |      2 |     99.65 |    100.23
316 |         N/A |   0.000000 |           0 |      4 |      4 |     99.70 |    100.88
313 |         N/A |   0.000000 |           0 |      5 |      5 |     98.98 |    100.14
307 |         N/A |   0.000000 |           0 |      1 |      1 |     99.79 |    100.20
322 |         N/A |   0.000000 |           0 |      7 |      7 |     98.77 |    100.11
