====================================================================================================
PRICE FLUCTUATION (≥ 0.3) — TIME-FILTERED TRADES (≥ 15s duration + 15s cooldown)
====================================================================================================

ATR Window: 600 | ATR Threshold: 0.01
Min Trade Duration: 15s | Cooldown: 15s
Days Processed: 510 / 510

====================================================================================================
SECTION A — Days where ATR ≥ Threshold (Active Regime)
====================================================================================================
Day | ATR @Index | ATR Value | Considered | Missed | Total | Price Min | Price Max
102 |         N/A |    0.00000 |           0 |      3 |      3 |     99.83 |    100.22
110 |         N/A |    0.00000 |           0 |      1 |      1 |     99.89 |    100.51
111 |         N/A |    0.00000 |           0 |      2 |      2 |     99.76 |    100.71
112 |         N/A |    0.00000 |           0 |      1 |      1 |     99.94 |    100.37
114 |         N/A |    0.00000 |           0 |      2 |      2 |     99.67 |    100.25
118 |         N/A |    0.00000 |           0 |      4 |      4 |     99.67 |    100.60
135 |         N/A |    0.00000 |           0 |      8 |      8 |     99.36 |    100.41
134 |         N/A |    0.00000 |           0 |      2 |      2 |     99.54 |    100.16
131 |         N/A |    0.00000 |           0 |      3 |      3 |     99.71 |    100.27
121 |         N/A |    0.00000 |           0 |      3 |      3 |     99.83 |    100.86
113 |         N/A |    0.00000 |           0 |      2 |      2 |     99.59 |    100.10
126 |         N/A |    0.00000 |           0 |      3 |      3 |     99.97 |    100.49
122 |         N/A |    0.00000 |           0 |      1 |      1 |     99.84 |    100.32
119 |         N/A |    0.00000 |           0 |      1 |      1 |     99.58 |    100.25
130 |         N/A |    0.00000 |           0 |      2 |      2 |     99.53 |    100.07
115 |         N/A |    0.00000 |           0 |      4 |      4 |     99.09 |    100.13
123 |         N/A |    0.00000 |           0 |      2 |      2 |     99.86 |    100.53
116 |         N/A |    0.00000 |           0 |      4 |      4 |     99.53 |    100.11
120 |         N/A |    0.00000 |           0 |      2 |      2 |    100.00 |    100.71
133 |         N/A |    0.00000 |           0 |      1 |      1 |     99.86 |    100.54
139 |         N/A |    0.00000 |           0 |      8 |      8 |     98.81 |    100.33
138 |         N/A |    0.00000 |           0 |      6 |      6 |     98.59 |    100.15
154 |         N/A |    0.00000 |           0 |      2 |      2 |     99.71 |    100.17
147 |         N/A |    0.00000 |           0 |      3 |      3 |     99.61 |    100.22
142 |         N/A |    0.00000 |           0 |      3 |      3 |     99.63 |    100.17
141 |         N/A |    0.00000 |           0 |      1 |      1 |     99.74 |    100.24
151 |         N/A |    0.00000 |           0 |      2 |      2 |     99.55 |    100.05
143 |         N/A |    0.00000 |           0 |      2 |      2 |     99.49 |    100.26
160 |         N/A |    0.00000 |           0 |      4 |      4 |     99.67 |    100.45
145 |         N/A |    0.00000 |           0 |      4 |      4 |     99.44 |    100.30
152 |         N/A |    0.00000 |           0 |      4 |      4 |     99.89 |    101.08
159 |         N/A |    0.00000 |           0 |      4 |      4 |     99.53 |    100.25
153 |         N/A |    0.00000 |           0 |      6 |      6 |     99.90 |    100.88
144 |         N/A |    0.00000 |           0 |      3 |      3 |     99.46 |    100.26
146 |         N/A |    0.00000 |           0 |      5 |      5 |     99.61 |    100.40
162 |         N/A |    0.00000 |           0 |      5 |      5 |     99.49 |    100.23
155 |         N/A |    0.00000 |           0 |      2 |      2 |     99.91 |    100.78
172 |         N/A |    0.00000 |           0 |      5 |      5 |     99.62 |    100.52
149 |         N/A |    0.00000 |           0 |      1 |      1 |     99.80 |    100.10
165 |         N/A |    0.00000 |           0 |      3 |      3 |     99.73 |    100.42
173 |         N/A |    0.00000 |           0 |     11 |     11 |     97.94 |    100.13
174 |         N/A |    0.00000 |           0 |      2 |      2 |     99.68 |    100.29
169 |         N/A |    0.00000 |           0 |      8 |      8 |     98.58 |    100.02
176 |         N/A |    0.00000 |           0 |      2 |      2 |     99.39 |    100.20
177 |         N/A |    0.00000 |           0 |      5 |      5 |     99.32 |    100.09
164 |         N/A |    0.00000 |           0 |      1 |      1 |    100.00 |    100.45
168 |         N/A |    0.00000 |           0 |      7 |      7 |     98.61 |    100.22
178 |         N/A |    0.00000 |           0 |      7 |      7 |     99.56 |    100.95
184 |         N/A |    0.00000 |           0 |      3 |      3 |     99.61 |    100.31
180 |         N/A |    0.00000 |           0 |      5 |      5 |     99.49 |    100.43
191 |         N/A |    0.00000 |           0 |      2 |      2 |     99.51 |    100.03
179 |         N/A |    0.00000 |           0 |      9 |      9 |     99.03 |    100.06
192 |         N/A |    0.00000 |           0 |      7 |      7 |     98.54 |    100.00
190 |         N/A |    0.00000 |           0 |      2 |      2 |     99.64 |    100.11
199 |         N/A |    0.00000 |           0 |      3 |      3 |     99.15 |    100.02
202 |         N/A |    0.00000 |           0 |      5 |      5 |     98.33 |    100.05
197 |         N/A |    0.00000 |           0 |     13 |     13 |     98.19 |    100.02
196 |         N/A |    0.00000 |           0 |      3 |      3 |     99.99 |    101.05
213 |         N/A |    0.00000 |           0 |      2 |      2 |     99.39 |    100.21
198 |         N/A |    0.00000 |           0 |      2 |      2 |     99.82 |    100.45
217 |         N/A |    0.00000 |           0 |      2 |      2 |     99.73 |    100.18
194 |         N/A |    0.00000 |           0 |      2 |      2 |     99.91 |    100.62
201 |         N/A |    0.00000 |           0 |      6 |      6 |     99.51 |    100.60
215 |         N/A |    0.00000 |           0 |      6 |      6 |     99.89 |    100.64
219 |         N/A |    0.00000 |           0 |      4 |      4 |     99.95 |    100.78
203 |         N/A |    0.00000 |           0 |      2 |      2 |     99.50 |    100.15
193 |         N/A |    0.00000 |           0 |      5 |      5 |     99.73 |    100.14
216 |         N/A |    0.00000 |           0 |      0 |      0 |     99.84 |    100.10
220 |         N/A |    0.00000 |           0 |      2 |      2 |     99.82 |    100.24
204 |         N/A |    0.00000 |           0 |      8 |      8 |     98.93 |    100.39
224 |         N/A |    0.00000 |           0 |      5 |      5 |     99.23 |    100.25
206 |         N/A |    0.00000 |           0 |      2 |      2 |     99.73 |    100.84
210 |         N/A |    0.00000 |           0 |      4 |      4 |     98.96 |    100.09
222 |         N/A |    0.00000 |           0 |      2 |      2 |     99.47 |    100.09
211 |         N/A |    0.00000 |           0 |      4 |      4 |     99.37 |    100.17
214 |         N/A |    0.00000 |           0 |      1 |      1 |     99.67 |    100.05
225 |         N/A |    0.00000 |           0 |      1 |      1 |     99.92 |    100.54
223 |         N/A |    0.00000 |           0 |      3 |      3 |     99.83 |    100.97
227 |         N/A |    0.00000 |           0 |      5 |      5 |     99.47 |    100.43
232 |         N/A |    0.00000 |           0 |      7 |      7 |     99.59 |    100.65
226 |         N/A |    0.00000 |           0 |      3 |      3 |     99.97 |    100.93
229 |         N/A |    0.00000 |           0 |      1 |      1 |     99.89 |    100.21
236 |         N/A |    0.00000 |           0 |      7 |      7 |     98.17 |    100.15
235 |         N/A |    0.00000 |           0 |      1 |      1 |     99.78 |    100.24
237 |         N/A |    0.00000 |           0 |      2 |      2 |     99.49 |    100.25
228 |         N/A |    0.00000 |           0 |      1 |      1 |     99.76 |    100.07
238 |         N/A |    0.00000 |           0 |      2 |      2 |     99.96 |    100.38
244 |         N/A |    0.00000 |           0 |      3 |      3 |     99.88 |    100.47
245 |         N/A |    0.00000 |           0 |      3 |      3 |    100.00 |    100.95
240 |         N/A |    0.00000 |           0 |      5 |      5 |     98.85 |    100.08
233 |         N/A |    0.00000 |           0 |      3 |      3 |     99.98 |    100.60
251 |         N/A |    0.00000 |           0 |      2 |      2 |     99.85 |    100.22
252 |         N/A |    0.00000 |           0 |      2 |      2 |     99.48 |    100.13
254 |         N/A |    0.00000 |           0 |      5 |      5 |     99.82 |    100.89
246 |         N/A |    0.00000 |           0 |      3 |      3 |     99.69 |    100.23
239 |         N/A |    0.00000 |           0 |     12 |     12 |     98.48 |    100.28
261 |         N/A |    0.00000 |           0 |      4 |      4 |     99.78 |    100.48
247 |         N/A |    0.00000 |           0 |      4 |      4 |     99.77 |    100.40
248 |         N/A |    0.00000 |           0 |      3 |      3 |     99.84 |    100.37
250 |         N/A |    0.00000 |           0 |      2 |      2 |     99.82 |    100.59
266 |         N/A |    0.00000 |           0 |      3 |      3 |     99.99 |    100.94
271 |         N/A |    0.00000 |           0 |      5 |      5 |     99.99 |    100.98
253 |         N/A |    0.00000 |           0 |      5 |      5 |     98.45 |    100.16
268 |         N/A |    0.00000 |           0 |      9 |      9 |     98.82 |    100.22
272 |         N/A |    0.00000 |           0 |      2 |      2 |     99.88 |    100.62
270 |         N/A |    0.00000 |           0 |      7 |      7 |     99.04 |    100.09
