========================================================================================================================
PRICE FLUCTUATION (≥ 0.3) — ATR + DUAL VOL (60 & 100) TIME-FILTERED TRADES
========================================================================================================================

ATR Window: 180 | ATR Threshold: 0.01
VOL1 Window: 100 | VOL2 Window: 60 | Threshold: 0.06
Min Trade Duration: 15s | Cooldown: 15s
Days Processed: 279 / 279

========================================================================================================================
SECTION A — Days where ATR ≥ 0.01 AND VOL_100 ≥ 0.06 AND VOL_60 ≥ 0.06
========================================================================================================================
Day | ATR@Idx | ATR | VOL100@Idx | VOL100 | VOL60@Idx | VOL60 | Considered | Missed | Total | PriceMin | PriceMax
 92 |        0 | 0.0303 |        285 |   0.062 |       286 |  0.061 |           6 |      0 |      6 |     99.83 |    101.17
 90 |        0 | 0.0157 |        382 |   0.060 |       377 |  0.060 |           5 |      1 |      6 |     99.60 |    100.94
 83 |        0 | 0.0133 |        484 |   0.061 |       483 |  0.061 |           4 |      0 |      4 |     99.92 |    100.53
 98 |        0 | 0.0101 |      15525 |   0.062 |     15524 |  0.061 |           3 |      1 |      4 |     99.27 |    100.24
104 |        0 | 0.0220 |         99 |   0.130 |        59 |  0.157 |         145 |      1 |    146 |     91.42 |    100.50
107 |        0 | 0.0158 |        358 |   0.060 |     14620 |  0.061 |           4 |      5 |      9 |    100.00 |    101.43
110 |        0 | 0.0145 |         99 |   0.063 |        86 |  0.060 |          36 |      0 |     36 |     98.75 |    102.88
112 |        0 | 0.0126 |        215 |   0.060 |      3569 |  0.060 |           3 |      2 |      5 |     99.62 |    100.65
116 |        0 | 0.0109 |        108 |   0.060 |       315 |  0.060 |           5 |      0 |      5 |     99.91 |    101.10
115 |        0 | 0.0154 |       1050 |   0.060 |      1054 |  0.060 |          16 |      1 |     17 |     98.20 |    100.12
119 |        0 | 0.0130 |       2038 |   0.061 |      2045 |  0.061 |           2 |      0 |      2 |     99.78 |    100.49
123 |        3 | 0.0115 |       5396 |   0.061 |      5393 |  0.061 |          11 |      2 |     13 |     98.36 |    100.07
128 |        0 | 0.0189 |        513 |   0.060 |      1084 |  0.061 |           8 |      1 |      9 |     99.52 |    101.00
127 |     8999 | 0.0101 |       1815 |   0.060 |      3671 |  0.060 |           6 |      6 |     12 |     98.95 |    100.38
121 |        1 | 0.0127 |        197 |   0.061 |       192 |  0.061 |           2 |      0 |      2 |     99.58 |    100.15
135 |        0 | 0.0248 |       1244 |   0.060 |      1238 |  0.061 |          12 |      0 |     12 |     98.43 |    100.61
126 |        0 | 0.0307 |       1073 |   0.061 |      5446 |  0.061 |           4 |      3 |      7 |     99.16 |    100.25
134 |    15431 | 0.0100 |       2165 |   0.061 |      2164 |  0.060 |           7 |      6 |     13 |     99.59 |    100.96
141 |        0 | 0.0213 |        968 |   0.060 |       956 |  0.060 |           6 |      1 |      7 |     99.65 |    100.77
138 |        2 | 0.0116 |         99 |   0.111 |        59 |  0.064 |           5 |      1 |      6 |     99.45 |    100.71
144 |        0 | 0.0277 |       2845 |   0.060 |      2844 |  0.062 |           5 |      0 |      5 |     99.62 |    100.22
139 |        1 | 0.0144 |      17414 |   0.060 |     17416 |  0.061 |           2 |      2 |      4 |     99.57 |    100.29
137 |        0 | 0.0183 |       3008 |   0.061 |      3006 |  0.062 |           6 |      2 |      8 |     99.68 |    101.26
143 |     7729 | 0.0100 |       7630 |   0.061 |      7629 |  0.061 |           6 |      2 |      8 |     99.70 |    100.64
153 |        4 | 0.0122 |       3554 |   0.063 |      3554 |  0.062 |           2 |      1 |      3 |     99.79 |    101.05
151 |     3073 | 0.0100 |        964 |   0.060 |       962 |  0.060 |          10 |      1 |     11 |     99.31 |    100.45
158 |        0 | 0.0283 |        341 |   0.061 |       340 |  0.060 |          12 |      1 |     13 |     99.13 |    100.60
147 |        0 | 0.0227 |      10813 |   0.061 |     10814 |  0.062 |           4 |      7 |     11 |     99.75 |    100.97
160 |        1 | 0.0126 |        282 |   0.061 |       279 |  0.060 |           5 |      0 |      5 |     99.64 |    100.23
162 |        0 | 0.0108 |       2380 |   0.060 |      2487 |  0.061 |          10 |      3 |     13 |     97.98 |    100.10
150 |        1 | 0.0184 |       1558 |   0.062 |      1554 |  0.062 |           4 |      1 |      5 |     99.53 |    100.33
167 |        1 | 0.0110 |        485 |   0.062 |       485 |  0.068 |           6 |      1 |      7 |     99.52 |    100.63
165 |        0 | 0.0841 |         99 |   1.353 |        59 |  0.908 |          32 |      2 |     34 |     96.29 |    100.77
154 |        4 | 0.0104 |        178 |   0.062 |       182 |  0.060 |           2 |      0 |      2 |     99.52 |    100.14
169 |        0 | 0.0349 |       2175 |   0.061 |      2176 |  0.060 |           5 |      1 |      6 |     99.99 |    101.88
177 |        0 | 0.0221 |        288 |   0.061 |       288 |  0.061 |           9 |      1 |     10 |     99.95 |    100.94
174 |        0 | 0.0274 |        264 |   0.060 |      1899 |  0.061 |          19 |      1 |     20 |     98.76 |    100.63
172 |        0 | 0.0176 |       2402 |   0.062 |      2404 |  0.061 |           1 |      0 |      1 |     99.69 |    100.27
182 |        0 | 0.0209 |       3599 |   0.060 |      6980 |  0.062 |           6 |      5 |     11 |     98.61 |    101.17
185 |        0 | 0.0250 |        963 |   0.060 |      2487 |  0.060 |          19 |      1 |     20 |     98.43 |    100.12
179 |        0 | 0.0189 |         99 |   0.070 |        85 |  0.060 |           5 |      0 |      5 |     99.74 |    100.23
192 |        0 | 0.0237 |       1130 |   0.060 |      1123 |  0.060 |           8 |      0 |      8 |     99.34 |    100.29
195 |        0 | 0.0265 |        469 |   0.060 |      8799 |  0.060 |           4 |      1 |      5 |     99.60 |    100.49
194 |        0 | 0.0117 |      14862 |   0.061 |     14862 |  0.060 |           4 |      4 |      8 |     99.10 |    100.60
202 |        0 | 0.0151 |        935 |   0.060 |      1136 |  0.060 |           7 |      0 |      7 |     98.62 |    100.15
207 |    17283 | 0.0100 |      11590 |   0.060 |     11586 |  0.062 |           6 |      3 |      9 |     99.82 |    100.75
206 |        0 | 0.0143 |         99 |   0.091 |        69 |  0.062 |           5 |      0 |      5 |     99.98 |    100.78
212 |        0 | 0.0122 |        410 |   0.061 |       407 |  0.062 |           3 |      0 |      3 |     99.03 |    100.00
209 |     6258 | 0.0101 |       1358 |   0.061 |      1356 |  0.062 |          19 |      2 |     21 |     99.14 |    101.58
208 |        1 | 0.0127 |        716 |   0.061 |      1798 |  0.060 |           3 |      2 |      5 |     99.86 |    100.50
218 |        0 | 0.0174 |       1263 |   0.062 |      1263 |  0.062 |           6 |      0 |      6 |     98.73 |    100.19
226 |       11 | 0.0114 |        127 |   0.060 |       122 |  0.060 |           5 |      0 |      5 |     99.75 |    100.67
228 |        0 | 0.0129 |         99 |   0.065 |        59 |  0.064 |          11 |      0 |     11 |     99.60 |    101.04
235 |        0 | 0.0101 |       3212 |   0.063 |      3209 |  0.060 |           7 |      0 |      7 |     99.22 |    100.40
234 |        0 | 0.0124 |       2670 |   0.061 |      2665 |  0.061 |           6 |      1 |      7 |     99.66 |    100.90
238 |        2 | 0.0129 |        827 |   0.061 |       850 |  0.061 |           8 |      1 |      9 |     99.55 |    100.50
237 |        0 | 0.0498 |       1140 |   0.060 |     12847 |  0.062 |           3 |      4 |      7 |     99.66 |    100.68
251 |        0 | 0.0107 |       3944 |   0.060 |      3973 |  0.060 |           7 |      1 |      8 |     99.84 |    100.85
246 |        2 | 0.0101 |        541 |   0.060 |      1788 |  0.060 |           4 |      0 |      4 |     99.57 |    100.19
256 |        0 | 0.0286 |        567 |   0.060 |       568 |  0.061 |           6 |      0 |      6 |     99.74 |    100.68
261 |        0 | 0.0142 |       1875 |   0.060 |     10641 |  0.060 |           3 |      4 |      7 |     99.60 |    100.96
263 |        0 | 0.0184 |       1039 |   0.061 |      2890 |  0.061 |           9 |      4 |     13 |     99.01 |    100.10
253 |        0 | 0.0242 |        970 |   0.060 |       969 |  0.060 |           4 |      0 |      4 |     99.46 |    100.14
258 |        0 | 0.0180 |       1078 |   0.060 |      1078 |  0.061 |           4 |      0 |      4 |     99.29 |    100.31
264 |        3 | 0.0103 |         99 |   0.115 |        59 |  0.098 |           8 |      1 |      9 |     99.99 |    100.72
260 |        4 | 0.0107 |        666 |   0.061 |       672 |  0.061 |           6 |      0 |      6 |     99.94 |    100.95
265 |        0 | 0.0412 |        874 |   0.061 |       875 |  0.061 |           4 |      0 |      4 |     99.48 |    100.49
275 |        0 | 0.0118 |       4649 |   0.064 |      4649 |  0.062 |           8 |      1 |      9 |     98.06 |    100.18
277 |        0 | 0.0196 |        390 |   0.060 |      1109 |  0.060 |          13 |      0 |     13 |     98.08 |    100.13

Days with All 3 Crosses: 93
Total Considered Pairs: 784
Total Missed Pairs: 775
Total Pairs: 1559
Average Total Pairs/Day: 5.59
========================================================================================================================
END OF REPORT
