====================================================================================================
PB9_ADX FLUCTUATION (≥ 0.3) — SEGMENTED BY ADX THRESHOLD CROSSING (84.1)
====================================================================================================

Data Directory: /data/quant14/EBY
ADX Window: 14 | Threshold: 84.1
Days Processed: 279 / 279

====================================================================================================
SECTION A — Days where ADX crossed ≥ 84.1
====================================================================================================
Day | ADX Hit @Index | ADX Value | Considered | Missed | Total | Price Min | Price Max
 96 |          18534 |     84.548 |           0 |      2 |      2 |     99.75 |    100.19
 97 |           4751 |     84.858 |           1 |      1 |      2 |     99.63 |    100.17
 98 |           3740 |     85.242 |           3 |      1 |      4 |     99.27 |    100.24
 99 |          21869 |     86.990 |           0 |      3 |      3 |     99.41 |    100.01
100 |           8782 |     84.612 |           1 |      0 |      1 |     99.78 |    100.24
101 |            874 |     84.375 |           1 |      0 |      1 |     99.87 |    100.36
102 |           4076 |     85.791 |           3 |      1 |      4 |     99.43 |     99.98
103 |          13825 |     84.730 |           0 |      0 |      0 |    100.01 |    100.18
104 |            144 |     85.068 |         174 |      1 |    175 |     91.42 |    100.50
105 |           7311 |     85.361 |           5 |      0 |      5 |    100.00 |    100.91
106 |           1910 |     84.899 |           2 |      0 |      2 |     99.80 |    100.26
107 |           3079 |     85.101 |           7 |      2 |      9 |    100.00 |    101.43
108 |          15853 |     85.959 |           2 |      4 |      6 |     99.63 |    100.77
110 |           9178 |     85.620 |          13 |     20 |     33 |     98.75 |    102.88
111 |          21565 |     88.321 |           0 |      4 |      4 |     99.51 |    100.00
112 |            200 |     85.604 |           5 |      0 |      5 |     99.62 |    100.65
115 |           9038 |     85.419 |           6 |     12 |     18 |     98.20 |    100.12
116 |           4646 |     84.433 |           3 |      4 |      7 |     99.91 |    101.10
117 |           4322 |     84.334 |           0 |      0 |      0 |     99.85 |    100.10
119 |            772 |     84.780 |           2 |      0 |      2 |     99.78 |    100.49
120 |          15577 |     86.277 |           2 |      2 |      4 |     99.65 |    100.46
121 |           4557 |     85.030 |           1 |      1 |      2 |     99.58 |    100.15
123 |           4552 |     84.684 |          10 |      1 |     11 |     98.36 |    100.07
125 |            914 |     85.446 |           1 |      1 |      2 |     99.32 |    100.02
126 |          10574 |     87.302 |           3 |      5 |      8 |     99.16 |    100.25
127 |          21654 |     84.167 |           0 |     14 |     14 |     98.95 |    100.38
128 |          21807 |     85.941 |           0 |      9 |      9 |     99.52 |    101.00
129 |          15371 |     84.203 |           3 |      3 |      6 |     99.22 |    100.21
130 |          10295 |     84.434 |           2 |      2 |      4 |     99.68 |    100.24
132 |          22355 |     85.694 |           0 |      6 |      6 |     99.42 |    100.00
133 |          20722 |     85.171 |           1 |      3 |      4 |     99.43 |    100.06
134 |          15662 |     84.384 |           6 |      7 |     13 |     99.59 |    100.96
135 |          21538 |     84.280 |           1 |     13 |     14 |     98.43 |    100.61
136 |          22427 |     85.351 |           0 |      6 |      6 |     99.19 |    100.19
137 |           3007 |     84.958 |           8 |      2 |     10 |     99.68 |    101.26
138 |            182 |     86.008 |           5 |      1 |      6 |     99.45 |    100.71
139 |           1568 |     84.317 |           4 |      0 |      4 |     99.57 |    100.29
141 |          21444 |     85.252 |           1 |      6 |      7 |     99.65 |    100.77
142 |           4127 |     85.554 |           1 |      0 |      1 |     99.84 |    100.39
143 |           1697 |     84.279 |          10 |      0 |     10 |     99.70 |    100.64
145 |          17302 |     84.740 |           1 |      5 |      6 |     99.27 |     99.99
147 |           3628 |     86.386 |           7 |      2 |      9 |     99.75 |    100.97
148 |             77 |     84.632 |           2 |      0 |      2 |     99.90 |    100.48
150 |          20876 |     84.373 |           0 |      6 |      6 |     99.53 |    100.33
151 |           7321 |     85.594 |          10 |      4 |     14 |     99.31 |    100.45
152 |          20595 |     86.819 |           0 |      4 |      4 |     99.91 |    100.72
154 |           7755 |     84.155 |           1 |      1 |      2 |     99.52 |    100.14
155 |          21587 |     85.046 |           0 |      2 |      2 |     99.98 |    100.54
156 |            881 |     84.490 |           4 |      0 |      4 |     99.49 |    100.18
157 |          16584 |     84.408 |           2 |      3 |      5 |     99.59 |    100.37
158 |           6553 |     85.118 |          10 |      3 |     13 |     99.13 |    100.60
160 |           8728 |     87.264 |           1 |      4 |      5 |     99.64 |    100.23
161 |           6789 |     86.877 |           0 |      2 |      2 |     99.81 |    100.31
163 |            666 |     84.224 |           1 |      0 |      1 |     99.77 |    100.35
164 |           4104 |     84.222 |           2 |      1 |      3 |     99.31 |    100.05
165 |             75 |     84.762 |          30 |      4 |     34 |     96.29 |    100.77
167 |           2788 |     84.490 |           4 |      3 |      7 |     99.52 |    100.63
168 |          12431 |     84.898 |           3 |      3 |      6 |     98.75 |    100.50
169 |           9965 |     86.889 |           3 |      3 |      6 |     99.99 |    101.88
170 |           2698 |     85.454 |           1 |      0 |      1 |     99.61 |    100.06
171 |          11000 |     84.747 |           2 |      0 |      2 |     99.90 |    100.23
172 |           6029 |     86.038 |           1 |      0 |      1 |     99.69 |    100.27
176 |           2687 |     85.379 |           2 |      1 |      3 |     99.98 |    101.04
177 |           3346 |     84.452 |           7 |      2 |      9 |     99.95 |    100.94
178 |           2770 |     86.846 |           1 |      0 |      1 |     99.86 |    100.24
179 |           6611 |     84.375 |           2 |      4 |      6 |     99.74 |    100.23
180 |           9618 |     84.640 |           2 |      1 |      3 |     99.72 |    100.36
181 |          21561 |     84.970 |           0 |      4 |      4 |     99.49 |    100.35
182 |           6983 |     86.459 |           9 |      5 |     14 |     98.61 |    101.17
184 |           3063 |     84.587 |           2 |      2 |      4 |     99.41 |    100.39
185 |          13332 |     86.257 |           7 |      9 |     16 |     98.43 |    100.12
186 |          16772 |     84.863 |           1 |      2 |      3 |     99.63 |    100.10
187 |           9063 |     85.489 |           2 |      3 |      5 |     98.57 |    100.13
188 |          21592 |     85.221 |           0 |      2 |      2 |     99.81 |    100.51
189 |          20943 |     84.852 |           0 |      4 |      4 |     98.98 |    100.09
190 |          10919 |     84.698 |           1 |      2 |      3 |     98.99 |    100.00
191 |           1353 |     85.082 |           6 |      0 |      6 |     99.63 |    100.43
192 |           7731 |     84.675 |           5 |      3 |      8 |     99.34 |    100.29
193 |           6706 |     86.115 |           1 |      2 |      3 |     99.16 |    100.03
194 |           5891 |     84.534 |           8 |      3 |     11 |     99.10 |    100.60
195 |           3629 |     85.559 |           5 |      0 |      5 |     99.60 |    100.49
196 |           8389 |     84.704 |           4 |      1 |      5 |     99.86 |    100.58
197 |           9448 |     84.564 |           2 |      0 |      2 |     99.34 |     99.99
199 |           9666 |     86.029 |           2 |      1 |      3 |     99.93 |    100.54
201 |          15659 |     86.334 |           2 |      1 |      3 |     99.34 |    100.12
202 |          21580 |     84.397 |           1 |      6 |      7 |     98.62 |    100.15
204 |           8020 |     85.443 |           1 |      1 |      2 |     99.92 |    100.54
205 |          12467 |     86.488 |           1 |      3 |      4 |     98.83 |    100.03
206 |           9747 |     85.282 |           3 |      1 |      4 |     99.98 |    100.78
207 |          15530 |     85.286 |           8 |      2 |     10 |     99.82 |    100.75
210 |           8225 |     85.310 |           5 |      1 |      6 |     99.20 |    100.10
211 |           4497 |     84.368 |           4 |      1 |      5 |     99.90 |    101.03
212 |          20654 |     85.665 |           1 |      4 |      5 |     99.03 |    100.00
213 |          11638 |     86.648 |           1 |      2 |      3 |     99.82 |    100.79
214 |           5650 |     84.397 |           2 |      2 |      4 |     99.88 |    100.78
217 |           2502 |     84.698 |           3 |      1 |      4 |     98.81 |    100.07
218 |           2704 |     85.153 |           6 |      2 |      8 |     98.73 |    100.19
219 |          12826 |     84.101 |           0 |      1 |      1 |     99.66 |    100.06
220 |           1214 |     84.550 |           7 |      0 |      7 |     99.65 |    100.39
221 |            687 |     84.938 |           2 |      0 |      2 |     99.90 |    100.55
222 |          19319 |     86.872 |           0 |      5 |      5 |     99.76 |    101.16
224 |          22427 |     86.698 |           0 |      4 |      4 |     99.62 |    100.60
226 |          15581 |     85.388 |           2 |      5 |      7 |     99.75 |    100.67
227 |           6935 |     84.997 |           1 |      0 |      1 |     99.88 |    100.27
228 |          11200 |     85.139 |           4 |      7 |     11 |     99.60 |    101.04
229 |            693 |     86.128 |           2 |      0 |      2 |     99.43 |    100.20
230 |           3966 |     85.860 |           3 |      1 |      4 |     98.97 |    100.22
231 |          21554 |     86.318 |           1 |      1 |      2 |     99.50 |    100.09
232 |           8791 |     84.384 |           2 |      2 |      4 |     99.91 |    100.84
233 |          17184 |     86.308 |           0 |      3 |      3 |     99.97 |    100.57
234 |          11385 |     85.850 |           4 |      5 |      9 |     99.66 |    100.90
235 |           1838 |     84.621 |           7 |      0 |      7 |     99.22 |    100.40
238 |          13528 |     86.697 |           2 |      5 |      7 |     99.55 |    100.50
239 |          15545 |     84.156 |           1 |      4 |      5 |     99.76 |    100.93
240 |          13485 |     84.573 |           3 |      1 |      4 |     99.43 |    100.29
241 |           4153 |     84.907 |           4 |      0 |      4 |     99.94 |    100.29
242 |           3373 |     86.073 |           4 |      1 |      5 |     99.83 |    100.64
243 |          13398 |     85.060 |           2 |      2 |      4 |     99.71 |    100.40
244 |          10982 |     84.343 |           3 |      2 |      5 |     99.92 |    101.62
245 |           4295 |     86.906 |           2 |      0 |      2 |     99.58 |    100.19
247 |          21832 |     86.929 |           0 |      2 |      2 |     99.99 |    100.75
248 |           9827 |     84.651 |           2 |      2 |      4 |     98.86 |    100.02
249 |           6357 |     85.866 |           1 |      2 |      3 |     99.59 |    100.18
250 |           3864 |     84.366 |           2 |      1 |      3 |     99.99 |    100.52
252 |          11359 |     84.285 |           3 |      2 |      5 |     99.82 |    101.81
253 |            330 |     84.878 |           4 |      0 |      4 |     99.46 |    100.14
254 |          21830 |     86.395 |           0 |      1 |      1 |     99.65 |    100.21
255 |           5751 |     84.490 |           3 |      3 |      6 |     99.35 |    100.43
256 |           6313 |     84.560 |           3 |      3 |      6 |     99.74 |    100.68
258 |           3120 |     84.857 |           4 |      0 |      4 |     99.29 |    100.31
260 |           8656 |     84.622 |           2 |      4 |      6 |     99.94 |    100.95
261 |           3891 |     84.837 |           4 |      3 |      7 |     99.60 |    100.96
262 |          22224 |     84.920 |           0 |      7 |      7 |     98.44 |    100.02
263 |           7941 |     84.647 |           5 |      6 |     11 |     99.01 |    100.10
265 |          12147 |     87.138 |           2 |      2 |      4 |     99.48 |    100.49
267 |          21733 |     84.625 |           0 |      1 |      1 |     99.54 |    100.16
268 |          16956 |     84.441 |           1 |      2 |      3 |     99.86 |    100.32
269 |          13532 |     86.561 |           1 |      0 |      1 |     99.76 |    100.23
270 |           7229 |     84.396 |           1 |      0 |      1 |     99.80 |    100.28
273 |           3955 |     84.148 |           1 |      0 |      1 |     99.53 |    100.23
274 |           6069 |     84.629 |           0 |      2 |      2 |     99.97 |    100.30
275 |           6229 |     84.397 |           7 |      3 |     10 |     98.06 |    100.18
276 |          19363 |     84.526 |           2 |      3 |      5 |     99.21 |    100.22

Days with ADX Cross: 222
Total Considered Pairs: 789
Average Considered/Day: 3.55

====================================================================================================
SECTION B — Days where ADX never reached 84.1
====================================================================================================
Day | ADX Max | ADX Hit | Considered | Missed | Total | Price Min | Price Max
----|----------|----------|-------------|--------|--------|-----------|----------
  1 |   83.209 |       No |           0 |      7 |      7 |     99.67 |    100.78
 15 |   84.091 |       No |           0 |      3 |      3 |    100.01 |    100.91
 17 |   82.769 |       No |           0 |      2 |      2 |     99.70 |    100.25
 21 |   81.688 |       No |           0 |      4 |      4 |     99.45 |    100.44
 27 |   83.104 |       No |           0 |      1 |      1 |     99.83 |    100.30
 29 |   83.128 |       No |           0 |      2 |      2 |     99.45 |    100.17
 33 |   83.955 |       No |           0 |      3 |      3 |     99.79 |    100.72
 36 |   81.286 |       No |           0 |      2 |      2 |     99.38 |    100.05
 42 |   80.902 |       No |           0 |      6 |      6 |     98.85 |    100.00
 49 |   82.320 |       No |           0 |      3 |      3 |     98.84 |    100.02
 52 |   83.533 |       No |           0 |      2 |      2 |     99.94 |    100.49
 56 |   82.155 |       No |           0 |     11 |     11 |     99.07 |    100.49
 65 |   78.122 |       No |           0 |      1 |      1 |     99.98 |    100.48
 66 |   84.008 |       No |           0 |      1 |      1 |     99.87 |    100.25
 73 |   79.753 |       No |           0 |      3 |      3 |     99.83 |    100.86
 79 |   83.455 |       No |           0 |      4 |      4 |     98.96 |    100.11
 84 |   80.195 |       No |           0 |      5 |      5 |     99.88 |    100.78
109 |   81.840 |       No |           0 |      3 |      3 |     99.96 |    100.68
113 |   78.158 |       No |           0 |      3 |      3 |     99.70 |    100.35
114 |   81.159 |       No |           0 |      1 |      1 |     99.86 |    100.26
118 |   81.261 |       No |           0 |      3 |      3 |     99.78 |    100.99
122 |   79.097 |       No |           0 |      2 |      2 |     99.74 |    100.56
124 |   79.515 |       No |           0 |      3 |      3 |     99.59 |    100.13
131 |   81.123 |       No |           0 |      6 |      6 |     99.94 |    100.62
140 |   84.077 |       No |           0 |      1 |      1 |     99.89 |    100.35
144 |   84.033 |       No |           0 |      5 |      5 |     99.62 |    100.22
146 |   77.804 |       No |           0 |      2 |      2 |     99.89 |    100.36
149 |   81.287 |       No |           0 |      9 |      9 |     99.13 |    100.44
153 |   80.925 |       No |           0 |      3 |      3 |     99.79 |    101.05
159 |   81.245 |       No |           0 |      3 |      3 |     99.39 |    100.23
162 |   82.282 |       No |           0 |     15 |     15 |     97.98 |    100.10
166 |   73.986 |       No |           0 |      3 |      3 |     99.91 |    100.37
173 |   83.148 |       No |           0 |      8 |      8 |     98.55 |    100.04
174 |   83.900 |       No |           0 |     19 |     19 |     98.76 |    100.63
175 |   84.077 |       No |           0 |      5 |      5 |     99.99 |    101.31
183 |   76.325 |       No |           0 |      1 |      1 |     99.74 |    100.09
198 |   73.732 |       No |           0 |      3 |      3 |     99.77 |    100.26
200 |   81.252 |       No |           0 |      4 |      4 |     99.33 |    100.15
203 |   80.848 |       No |           0 |      3 |      3 |     99.76 |    100.44
208 |   83.537 |       No |           0 |      5 |      5 |     99.86 |    100.50
209 |   79.976 |       No |           0 |     24 |     24 |     99.14 |    101.58
215 |   82.780 |       No |           0 |      2 |      2 |     99.86 |    100.78
216 |   81.450 |       No |           0 |      1 |      1 |     99.81 |    100.15
223 |   84.010 |       No |           0 |      4 |      4 |     99.79 |    100.79
225 |   82.359 |       No |           0 |      3 |      3 |     99.22 |    100.02
236 |   81.190 |       No |           0 |      3 |      3 |     99.99 |    100.78
237 |   82.550 |       No |           0 |      9 |      9 |     99.66 |    100.68
246 |   83.549 |       No |           0 |      3 |      3 |     99.57 |    100.19
251 |   81.864 |       No |           0 |      8 |      8 |     99.84 |    100.85
257 |   81.791 |       No |           0 |      6 |      6 |     99.99 |    101.82
259 |   81.144 |       No |           0 |      2 |      2 |     99.50 |    100.20
264 |   78.608 |       No |           0 |      6 |      6 |     99.99 |    100.72
266 |   82.349 |       No |           0 |      5 |      5 |     99.67 |    100.16
271 |   83.467 |       No |           0 |      3 |      3 |     99.68 |    100.28
272 |   82.367 |       No |           0 |      3 |      3 |     99.68 |    100.33
277 |   83.835 |       No |           0 |     13 |     13 |     98.08 |    100.13
278 |   81.286 |       No |           0 |      0 |      0 |     99.84 |    100.09

Days without ADX Cross: 57
Total Missed Pairs: 827
Average Missed/Day: 14.51

====================================================================================================
OVERALL SUMMARY
====================================================================================================
Total Days Processed: 279
Total Pairs: 1616
Total Missed Pairs: 827
Total Considered Pairs: 789

Average Total Pairs/Day: 5.79

====================================================================================================
END OF REPORT
====================================================================================================
