====================================================================================================
PRICE FLUCTUATION (≥ 0.3) — SEGMENTED BY ATR THRESHOLD CROSSING (0.01)
====================================================================================================

Data Directory: /data/quant14/EBY
ATR Window: 20 | ATR Threshold: 0.01
Days Processed: 279 / 279

====================================================================================================
SECTION A — Days where ATR crossed 0.01 (ATR Hit Detected)
====================================================================================================
Day | ATR Hit @Index | ATR Value | Considered | Missed | Total | Price Min | Price Max
 58 |            154 |    0.01014 |          12 |      0 |     12 |     99.33 |    100.29
 59 |              0 |    0.04836 |           2 |      0 |      2 |     99.78 |    100.42
 61 |              0 |    0.01984 |          20 |      0 |     20 |     99.71 |    100.92
 62 |              0 |    0.01013 |           3 |      0 |      3 |     99.14 |    100.26
 64 |              1 |    0.01786 |           3 |      0 |      3 |     99.63 |    100.18
 67 |              0 |    0.01300 |           3 |      0 |      3 |     99.80 |    100.86
 68 |              0 |    0.01874 |           9 |      0 |      9 |     99.89 |    100.76
 69 |           3058 |    0.01072 |           3 |      2 |      5 |     99.92 |    100.95
 70 |              0 |    0.01176 |           4 |      0 |      4 |     99.71 |    100.24
 71 |              0 |    0.01431 |           1 |      0 |      1 |     99.90 |    100.48
 72 |              0 |    0.02039 |          10 |      0 |     10 |     98.74 |    100.81
 73 |              1 |    0.01178 |           3 |      0 |      3 |     99.83 |    100.86
 74 |              0 |    0.01816 |           4 |      0 |      4 |     99.80 |    100.42
 75 |              0 |    0.01192 |           2 |      0 |      2 |     99.66 |    100.24
 76 |              0 |    0.01694 |           4 |      0 |      4 |     99.73 |    101.09
 77 |              0 |    0.01786 |           7 |      0 |      7 |     99.79 |    101.22
 78 |           3467 |    0.01121 |           7 |      0 |      7 |     99.23 |    100.41
 79 |              0 |    0.01162 |           4 |      0 |      4 |     98.96 |    100.11
 80 |              0 |    0.01124 |           2 |      0 |      2 |     99.87 |    100.23
 81 |              0 |    0.01875 |           1 |      0 |      1 |     99.52 |    100.04
 82 |              1 |    0.01618 |           7 |      0 |      7 |     99.59 |    100.54
 83 |              0 |    0.01327 |           4 |      0 |      4 |     99.92 |    100.53
 84 |           5872 |    0.01025 |           4 |      1 |      5 |     99.88 |    100.78
 85 |           7874 |    0.01032 |           4 |      3 |      7 |     99.42 |    100.95
 87 |              0 |    0.01442 |           2 |      0 |      2 |     99.76 |    100.38
 88 |              0 |    0.02504 |           3 |      0 |      3 |     99.78 |    101.02
 89 |              2 |    0.01146 |           4 |      0 |      4 |     99.45 |    100.56
 90 |              0 |    0.01568 |           6 |      0 |      6 |     99.60 |    100.94
 91 |              0 |    0.01692 |           7 |      0 |      7 |     99.19 |    100.42
 92 |              0 |    0.03031 |           6 |      0 |      6 |     99.83 |    101.17
 93 |           1094 |    0.01038 |           3 |      0 |      3 |     99.84 |    100.37
 94 |              2 |    0.01057 |           2 |      0 |      2 |     99.76 |    100.44
 95 |           1196 |    0.01063 |           7 |      0 |      7 |     99.59 |    100.35
 96 |              2 |    0.01205 |           2 |      0 |      2 |     99.75 |    100.19
 97 |              0 |    0.02013 |           2 |      0 |      2 |     99.63 |    100.17
 98 |              0 |    0.01008 |           4 |      0 |      4 |     99.27 |    100.24
 99 |            396 |    0.01025 |           3 |      0 |      3 |     99.41 |    100.01
102 |              0 |    0.01793 |           4 |      0 |      4 |     99.43 |     99.98
103 |          17102 |    0.01005 |           0 |      0 |      0 |    100.01 |    100.18
104 |              0 |    0.02199 |         175 |      0 |    175 |     91.42 |    100.50
105 |          14072 |    0.01001 |           4 |      1 |      5 |    100.00 |    100.91
107 |              0 |    0.01582 |           9 |      0 |      9 |    100.00 |    101.43
108 |           1243 |    0.01021 |           6 |      0 |      6 |     99.63 |    100.77
109 |           1159 |    0.01006 |           3 |      0 |      3 |     99.96 |    100.68
110 |              0 |    0.01455 |          33 |      0 |     33 |     98.75 |    102.88
112 |              0 |    0.01264 |           5 |      0 |      5 |     99.62 |    100.65
113 |           1623 |    0.01007 |           3 |      0 |      3 |     99.70 |    100.35
115 |              0 |    0.01541 |          18 |      0 |     18 |     98.20 |    100.12
116 |              0 |    0.01095 |           7 |      0 |      7 |     99.91 |    101.10
117 |              0 |    0.02441 |           0 |      0 |      0 |     99.85 |    100.10
119 |              0 |    0.01299 |           2 |      0 |      2 |     99.78 |    100.49
120 |              0 |    0.01996 |           4 |      0 |      4 |     99.65 |    100.46
121 |              1 |    0.01268 |           2 |      0 |      2 |     99.58 |    100.15
123 |              3 |    0.01149 |          11 |      0 |     11 |     98.36 |    100.07
124 |              0 |    0.01334 |           3 |      0 |      3 |     99.59 |    100.13
126 |              0 |    0.03075 |           8 |      0 |      8 |     99.16 |    100.25
127 |           1031 |    0.01000 |          13 |      1 |     14 |     98.95 |    100.38
128 |              0 |    0.01885 |           9 |      0 |      9 |     99.52 |    101.00
129 |          10476 |    0.01036 |           4 |      2 |      6 |     99.22 |    100.21
131 |              0 |    0.01042 |           6 |      0 |      6 |     99.94 |    100.62
132 |              0 |    0.01583 |           6 |      0 |      6 |     99.42 |    100.00
133 |          12720 |    0.01007 |           3 |      1 |      4 |     99.43 |    100.06
134 |            375 |    0.01021 |          12 |      1 |     13 |     99.59 |    100.96
135 |              0 |    0.02480 |          14 |      0 |     14 |     98.43 |    100.61
136 |              0 |    0.02021 |           6 |      0 |      6 |     99.19 |    100.19
137 |              0 |    0.01826 |          10 |      0 |     10 |     99.68 |    101.26
138 |              2 |    0.01157 |           6 |      0 |      6 |     99.45 |    100.71
139 |              1 |    0.01436 |           4 |      0 |      4 |     99.57 |    100.29
140 |              0 |    0.01403 |           1 |      0 |      1 |     99.89 |    100.35
141 |              0 |    0.02131 |           7 |      0 |      7 |     99.65 |    100.77
142 |              0 |    0.01213 |           1 |      0 |      1 |     99.84 |    100.39
143 |           7625 |    0.01111 |           9 |      1 |     10 |     99.70 |    100.64
144 |              0 |    0.02772 |           5 |      0 |      5 |     99.62 |    100.22
145 |              0 |    0.01140 |           6 |      0 |      6 |     99.27 |     99.99
146 |           4198 |    0.01042 |           2 |      0 |      2 |     99.89 |    100.36
147 |              0 |    0.02272 |           9 |      0 |      9 |     99.75 |    100.97
148 |            102 |    0.01066 |           2 |      0 |      2 |     99.90 |    100.48
149 |           3870 |    0.01030 |           7 |      2 |      9 |     99.13 |    100.44
150 |              1 |    0.01844 |           6 |      0 |      6 |     99.53 |    100.33
151 |            247 |    0.01013 |          14 |      0 |     14 |     99.31 |    100.45
152 |              1 |    0.01210 |           4 |      0 |      4 |     99.91 |    100.72
153 |              4 |    0.01222 |           3 |      0 |      3 |     99.79 |    101.05
154 |              4 |    0.01042 |           2 |      0 |      2 |     99.52 |    100.14
155 |              0 |    0.01566 |           2 |      0 |      2 |     99.98 |    100.54
157 |              1 |    0.01228 |           5 |      0 |      5 |     99.59 |    100.37
158 |              0 |    0.02825 |          13 |      0 |     13 |     99.13 |    100.60
159 |           1455 |    0.01044 |           3 |      0 |      3 |     99.39 |    100.23
160 |              1 |    0.01256 |           5 |      0 |      5 |     99.64 |    100.23
161 |           1682 |    0.01014 |           2 |      0 |      2 |     99.81 |    100.31
162 |              0 |    0.01076 |          15 |      0 |     15 |     97.98 |    100.10
165 |              0 |    0.08412 |          34 |      0 |     34 |     96.29 |    100.77
167 |              1 |    0.01104 |           7 |      0 |      7 |     99.52 |    100.63
168 |              1 |    0.01021 |           6 |      0 |      6 |     98.75 |    100.50
169 |              0 |    0.03486 |           6 |      0 |      6 |     99.99 |    101.88
171 |              0 |    0.02357 |           2 |      0 |      2 |     99.90 |    100.23
172 |              0 |    0.01756 |           1 |      0 |      1 |     99.69 |    100.27
173 |           2605 |    0.01034 |           7 |      1 |      8 |     98.55 |    100.04
174 |              0 |    0.02736 |          19 |      0 |     19 |     98.76 |    100.63
175 |              0 |    0.01131 |           5 |      0 |      5 |     99.99 |    101.31
176 |              0 |    0.01392 |           3 |      0 |      3 |     99.98 |    101.04
177 |              0 |    0.02215 |           9 |      0 |      9 |     99.95 |    100.94
179 |              0 |    0.01888 |           6 |      0 |      6 |     99.74 |    100.23
180 |              0 |    0.03027 |           3 |      0 |      3 |     99.72 |    100.36
181 |              2 |    0.01008 |           4 |      0 |      4 |     99.49 |    100.35
182 |              0 |    0.02092 |          14 |      0 |     14 |     98.61 |    101.17
184 |              0 |    0.02840 |           4 |      0 |      4 |     99.41 |    100.39
185 |              0 |    0.02501 |          16 |      0 |     16 |     98.43 |    100.12
186 |              0 |    0.01054 |           3 |      0 |      3 |     99.63 |    100.10
187 |              0 |    0.01134 |           5 |      0 |      5 |     98.57 |    100.13
188 |           1874 |    0.01072 |           2 |      0 |      2 |     99.81 |    100.51
189 |            467 |    0.01018 |           4 |      0 |      4 |     98.98 |    100.09
190 |           1144 |    0.01012 |           2 |      1 |      3 |     98.99 |    100.00
192 |              0 |    0.02374 |           8 |      0 |      8 |     99.34 |    100.29
194 |              0 |    0.01167 |          11 |      0 |     11 |     99.10 |    100.60
195 |              0 |    0.02654 |           5 |      0 |      5 |     99.60 |    100.49
196 |              0 |    0.01693 |           5 |      0 |      5 |     99.86 |    100.58
197 |              0 |    0.01327 |           2 |      0 |      2 |     99.34 |     99.99
199 |              0 |    0.01614 |           3 |      0 |      3 |     99.93 |    100.54
201 |           2637 |    0.01000 |           3 |      0 |      3 |     99.34 |    100.12
202 |              0 |    0.01510 |           7 |      0 |      7 |     98.62 |    100.15
203 |           3149 |    0.01001 |           2 |      1 |      3 |     99.76 |    100.44
205 |           2043 |    0.01035 |           4 |      0 |      4 |     98.83 |    100.03
206 |              0 |    0.01434 |           4 |      0 |      4 |     99.98 |    100.78
207 |          11576 |    0.01012 |           9 |      1 |     10 |     99.82 |    100.75
208 |              1 |    0.01268 |           5 |      0 |      5 |     99.86 |    100.50
209 |           1350 |    0.01459 |          24 |      0 |     24 |     99.14 |    101.58
210 |          18553 |    0.01018 |           3 |      3 |      6 |     99.20 |    100.10
211 |              0 |    0.02962 |           5 |      0 |      5 |     99.90 |    101.03
212 |              0 |    0.01225 |           5 |      0 |      5 |     99.03 |    100.00
214 |              0 |    0.02177 |           4 |      0 |      4 |     99.88 |    100.78
215 |              0 |    0.01849 |           2 |      0 |      2 |     99.86 |    100.78
216 |              1 |    0.01414 |           1 |      0 |      1 |     99.81 |    100.15
217 |              0 |    0.01584 |           4 |      0 |      4 |     98.81 |    100.07
218 |              0 |    0.01743 |           8 |      0 |      8 |     98.73 |    100.19
219 |            922 |    0.01140 |           1 |      0 |      1 |     99.66 |    100.06
220 |           1222 |    0.01072 |           7 |      0 |      7 |     99.65 |    100.39
222 |           2015 |    0.01015 |           4 |      1 |      5 |     99.76 |    101.16
224 |              1 |    0.01583 |           4 |      0 |      4 |     99.62 |    100.60
225 |           1010 |    0.01039 |           3 |      0 |      3 |     99.22 |    100.02
226 |             11 |    0.01137 |           7 |      0 |      7 |     99.75 |    100.67
227 |              0 |    0.01030 |           1 |      0 |      1 |     99.88 |    100.27
228 |              0 |    0.01294 |          11 |      0 |     11 |     99.60 |    101.04
230 |          19018 |    0.01001 |           2 |      2 |      4 |     98.97 |    100.22
231 |              0 |    0.02666 |           2 |      0 |      2 |     99.50 |    100.09
232 |            127 |    0.01013 |           4 |      0 |      4 |     99.91 |    100.84
233 |              0 |    0.01727 |           3 |      0 |      3 |     99.97 |    100.57
234 |              0 |    0.01242 |           9 |      0 |      9 |     99.66 |    100.90
235 |              0 |    0.01015 |           7 |      0 |      7 |     99.22 |    100.40
236 |           1065 |    0.01008 |           2 |      1 |      3 |     99.99 |    100.78
237 |              0 |    0.04982 |           9 |      0 |      9 |     99.66 |    100.68
238 |              2 |    0.01287 |           7 |      0 |      7 |     99.55 |    100.50
239 |           2835 |    0.01008 |           4 |      1 |      5 |     99.76 |    100.93
240 |           1375 |    0.01015 |           4 |      0 |      4 |     99.43 |    100.29
242 |           3918 |    0.01018 |           3 |      2 |      5 |     99.83 |    100.64
243 |              0 |    0.01541 |           4 |      0 |      4 |     99.71 |    100.40
244 |           1143 |    0.01043 |           5 |      0 |      5 |     99.92 |    101.62
245 |              0 |    0.01867 |           2 |      0 |      2 |     99.58 |    100.19
246 |              2 |    0.01011 |           3 |      0 |      3 |     99.57 |    100.19
250 |              0 |    0.02913 |           3 |      0 |      3 |     99.99 |    100.52
251 |              0 |    0.01071 |           8 |      0 |      8 |     99.84 |    100.85
252 |            257 |    0.01027 |           5 |      0 |      5 |     99.82 |    101.81
253 |              0 |    0.02416 |           4 |      0 |      4 |     99.46 |    100.14
255 |              0 |    0.02721 |           6 |      0 |      6 |     99.35 |    100.43
256 |              0 |    0.02858 |           6 |      0 |      6 |     99.74 |    100.68
257 |              1 |    0.01282 |           6 |      0 |      6 |     99.99 |    101.82
258 |              0 |    0.01800 |           4 |      0 |      4 |     99.29 |    100.31
259 |          10784 |    0.01054 |           2 |      0 |      2 |     99.50 |    100.20
260 |              4 |    0.01072 |           6 |      0 |      6 |     99.94 |    100.95
261 |              0 |    0.01422 |           7 |      0 |      7 |     99.60 |    100.96
262 |          14358 |    0.01021 |           3 |      4 |      7 |     98.44 |    100.02
263 |              0 |    0.01837 |          11 |      0 |     11 |     99.01 |    100.10
264 |              3 |    0.01029 |           6 |      0 |      6 |     99.99 |    100.72
265 |              0 |    0.04120 |           4 |      0 |      4 |     99.48 |    100.49
266 |              0 |    0.01387 |           5 |      0 |      5 |     99.67 |    100.16
268 |          16095 |    0.01011 |           1 |      2 |      3 |     99.86 |    100.32
269 |              6 |    0.01157 |           1 |      0 |      1 |     99.76 |    100.23
270 |              0 |    0.01013 |           1 |      0 |      1 |     99.80 |    100.28
271 |              0 |    0.01771 |           3 |      0 |      3 |     99.68 |    100.28
272 |              0 |    0.01162 |           3 |      0 |      3 |     99.68 |    100.33
275 |              0 |    0.01176 |          10 |      0 |     10 |     98.06 |    100.18
276 |            242 |    0.01051 |           5 |      0 |      5 |     99.21 |    100.22
277 |              0 |    0.01965 |          13 |      0 |     13 |     98.08 |    100.13

Days with ATR Cross: 231
Total Considered Pairs (after cross): 1465
Average Considered/Day: 6.34

====================================================================================================

====================================================================================================
SECTION B — Days where ATR never reached 0.01 (No Hit)
====================================================================================================
Day | ATR Hit @Index | ATR Value | Considered | Missed | Total | Price Min | Price Max
----|----------------|------------|-------------|--------|--------|-----------|----------
  8 |            N/A |    0.00000 |           0 |      1 |      1 |     99.76 |    100.08
 16 |            N/A |    0.00000 |           0 |      1 |      1 |     99.82 |    100.34
 23 |            N/A |    0.00000 |           0 |      2 |      2 |     99.28 |    100.07
 27 |            N/A |    0.00000 |           0 |      1 |      1 |     99.83 |    100.30
 32 |            N/A |    0.00000 |           0 |      0 |      0 |     99.94 |    100.24
 36 |            N/A |    0.00000 |           0 |      2 |      2 |     99.38 |    100.05
 41 |            N/A |    0.00000 |           0 |      4 |      4 |     99.32 |    100.26
 52 |            N/A |    0.00000 |           0 |      2 |      2 |     99.94 |    100.49
 55 |            N/A |    0.00000 |           0 |      2 |      2 |     99.97 |    100.34
 60 |            N/A |    0.00000 |           0 |      2 |      2 |     99.79 |    100.26
 63 |            N/A |    0.00000 |           0 |      5 |      5 |     99.95 |    101.06
 65 |            N/A |    0.00000 |           0 |      1 |      1 |     99.98 |    100.48
 66 |            N/A |    0.00000 |           0 |      1 |      1 |     99.87 |    100.25
 86 |            N/A |    0.00000 |           0 |      3 |      3 |     99.23 |    100.09
100 |            N/A |    0.00000 |           0 |      1 |      1 |     99.78 |    100.24
101 |            N/A |    0.00000 |           0 |      1 |      1 |     99.87 |    100.36
106 |            N/A |    0.00000 |           0 |      2 |      2 |     99.80 |    100.26
111 |            N/A |    0.00000 |           0 |      4 |      4 |     99.51 |    100.00
114 |            N/A |    0.00000 |           0 |      1 |      1 |     99.86 |    100.26
118 |            N/A |    0.00000 |           0 |      3 |      3 |     99.78 |    100.99
122 |            N/A |    0.00000 |           0 |      2 |      2 |     99.74 |    100.56
125 |            N/A |    0.00000 |           0 |      2 |      2 |     99.32 |    100.02
130 |            N/A |    0.00000 |           0 |      4 |      4 |     99.68 |    100.24
156 |            N/A |    0.00000 |           0 |      4 |      4 |     99.49 |    100.18
163 |            N/A |    0.00000 |           0 |      1 |      1 |     99.77 |    100.35
164 |            N/A |    0.00000 |           0 |      3 |      3 |     99.31 |    100.05
166 |            N/A |    0.00000 |           0 |      3 |      3 |     99.91 |    100.37
170 |            N/A |    0.00000 |           0 |      1 |      1 |     99.61 |    100.06
178 |            N/A |    0.00000 |           0 |      1 |      1 |     99.86 |    100.24
183 |            N/A |    0.00000 |           0 |      1 |      1 |     99.74 |    100.09
191 |            N/A |    0.00000 |           0 |      6 |      6 |     99.63 |    100.43
193 |            N/A |    0.00000 |           0 |      3 |      3 |     99.16 |    100.03
198 |            N/A |    0.00000 |           0 |      3 |      3 |     99.77 |    100.26
200 |            N/A |    0.00000 |           0 |      4 |      4 |     99.33 |    100.15
204 |            N/A |    0.00000 |           0 |      2 |      2 |     99.92 |    100.54
213 |            N/A |    0.00000 |           0 |      3 |      3 |     99.82 |    100.79
221 |            N/A |    0.00000 |           0 |      2 |      2 |     99.90 |    100.55
223 |            N/A |    0.00000 |           0 |      4 |      4 |     99.79 |    100.79
229 |            N/A |    0.00000 |           0 |      2 |      2 |     99.43 |    100.20
241 |            N/A |    0.00000 |           0 |      4 |      4 |     99.94 |    100.29
247 |            N/A |    0.00000 |           0 |      2 |      2 |     99.99 |    100.75
248 |            N/A |    0.00000 |           0 |      4 |      4 |     98.86 |    100.02
249 |            N/A |    0.00000 |           0 |      3 |      3 |     99.59 |    100.18
254 |            N/A |    0.00000 |           0 |      1 |      1 |     99.65 |    100.21
267 |            N/A |    0.00000 |           0 |      1 |      1 |     99.54 |    100.16
273 |            N/A |    0.00000 |           0 |      1 |      1 |     99.53 |    100.23
274 |            N/A |    0.00000 |           0 |      2 |      2 |     99.97 |    100.30
278 |            N/A |    0.00000 |           0 |      0 |      0 |     99.84 |    100.09

Days without ATR Cross: 48
Total Missed Pairs (before cross): 151
Average Missed/Day: 3.15

====================================================================================================
OVERALL SUMMARY
====================================================================================================
Total Pairs Detected: 1616
Total Missed Pairs (before ATR 0.01): 151
Total Considered Pairs (after ATR 0.01): 1465

Average Total Pairs/Day: 5.79

====================================================================================================
END OF REPORT
====================================================================================================
