==============================================================================================================
PB9_T1 — VOLATILITY STRENGTH (SMA-based Rolling Std) — FIXED THRESHOLD = 0.029
==============================================================================================================

Data Directory: /data/quant14/EBY
SMA Window: 20
Fixed Volatility Threshold: 0.029
Days Processed: 279 / 279

==============================================================================================================
SECTION A — Days where VOL_STRENGTH ≥ 0.029
==============================================================================================================
Day | Vol Hit @Index | Vol Value | Considered | Missed | Total | PB9_T1 Min | PB9_T1 Max
105 |           3206 |      0.030 |           5 |      0 |      5 |      100.00 |      100.91
107 |            332 |      0.030 |           8 |      1 |      9 |      100.00 |      101.43
108 |           1236 |      0.030 |           6 |      0 |      6 |       99.63 |      100.77
109 |           1152 |      0.029 |           3 |      0 |      3 |       99.96 |      100.68
110 |             69 |      0.029 |          33 |      0 |     33 |       98.75 |      102.88
112 |            192 |      0.030 |           5 |      0 |      5 |       99.62 |      100.65
113 |           1623 |      0.035 |           5 |      0 |      5 |       99.70 |      100.35
115 |            975 |      0.031 |          17 |      1 |     18 |       98.20 |      100.12
116 |             54 |      0.030 |           7 |      0 |      7 |       99.91 |      101.10
118 |            851 |      0.030 |           3 |      0 |      3 |       99.78 |      100.99
119 |           2041 |      0.032 |           2 |      0 |      2 |       99.78 |      100.49
120 |           1489 |      0.030 |           4 |      0 |      4 |       99.65 |      100.46
121 |            167 |      0.030 |           2 |      0 |      2 |       99.58 |      100.15
122 |            629 |      0.031 |           2 |      0 |      2 |       99.74 |      100.56
123 |           3378 |      0.030 |          10 |      1 |     11 |       98.36 |      100.07
125 |            913 |      0.029 |           1 |      1 |      2 |       99.32 |      100.02
126 |            255 |      0.030 |           8 |      0 |      8 |       99.16 |      100.25
127 |            357 |      0.029 |          12 |      0 |     12 |       98.95 |      100.38
128 |            752 |      0.029 |          10 |      1 |     11 |       99.52 |      101.00
129 |           3432 |      0.029 |           4 |      1 |      5 |       99.22 |      100.21
131 |          16462 |      0.029 |           3 |      3 |      6 |       99.94 |      100.62
132 |            242 |      0.030 |           6 |      0 |      6 |       99.42 |      100.00
133 |          12664 |      0.030 |           3 |      1 |      4 |       99.43 |      100.06
134 |            249 |      0.029 |          13 |      0 |     13 |       99.59 |      100.96
135 |             30 |      0.029 |          12 |      0 |     12 |       98.43 |      100.61
136 |            871 |      0.031 |           5 |      1 |      6 |       99.19 |      100.19
137 |           2887 |      0.029 |           9 |      1 |     10 |       99.68 |      101.26
138 |             19 |      0.056 |           6 |      0 |      6 |       99.45 |      100.71
139 |            817 |      0.030 |           4 |      0 |      4 |       99.57 |      100.29
140 |           8956 |      0.029 |           1 |      0 |      1 |       99.89 |      100.35
141 |            193 |      0.031 |           7 |      0 |      7 |       99.65 |      100.77
143 |           1692 |      0.029 |          10 |      0 |     10 |       99.70 |      100.64
144 |            664 |      0.030 |           5 |      0 |      5 |       99.62 |      100.22
145 |           3960 |      0.030 |           4 |      2 |      6 |       99.27 |      100.00
146 |           2070 |      0.029 |           2 |      0 |      2 |       99.89 |      100.36
147 |           1307 |      0.030 |           9 |      0 |      9 |       99.75 |      100.97
148 |           1404 |      0.029 |           2 |      0 |      2 |       99.90 |      100.48
149 |           1767 |      0.031 |           9 |      0 |      9 |       99.13 |      100.44
150 |            328 |      0.030 |           6 |      0 |      6 |       99.53 |      100.33
151 |            246 |      0.029 |          14 |      0 |     14 |       99.31 |      100.45
153 |            879 |      0.032 |           3 |      0 |      3 |       99.79 |      101.05
154 |            172 |      0.031 |           2 |      0 |      2 |       99.52 |      100.14
155 |            480 |      0.030 |           2 |      0 |      2 |       99.98 |      100.54
157 |           1107 |      0.030 |           5 |      0 |      5 |       99.59 |      100.37
158 |            249 |      0.030 |          10 |      1 |     11 |       99.13 |      100.60
159 |            665 |      0.029 |           3 |      0 |      3 |       99.39 |      100.23
160 |             19 |      0.032 |           5 |      0 |      5 |       99.64 |      100.23
161 |           1684 |      0.030 |           2 |      0 |      2 |       99.81 |      100.31
162 |            251 |      0.030 |          15 |      0 |     15 |       97.98 |      100.10
163 |            307 |      0.030 |           1 |      0 |      1 |       99.77 |      100.35
164 |           3184 |      0.031 |           2 |      1 |      3 |       99.31 |      100.05
165 |             19 |      1.377 |          33 |      1 |     34 |       96.29 |      100.77
167 |            484 |      0.029 |           7 |      0 |      7 |       99.52 |      100.63
168 |            243 |      0.029 |           6 |      0 |      6 |       98.75 |      100.50
169 |            251 |      0.030 |           8 |      0 |      8 |       99.99 |      101.88
170 |            616 |      0.031 |           1 |      0 |      1 |       99.61 |      100.06
172 |           2372 |      0.032 |           1 |      0 |      1 |       99.69 |      100.27
173 |            378 |      0.030 |           8 |      0 |      8 |       98.55 |      100.04
174 |             19 |      0.032 |          19 |      0 |     19 |       98.76 |      100.63
175 |          11753 |      0.030 |           1 |      4 |      5 |       99.99 |      101.31
176 |           2680 |      0.032 |           2 |      1 |      3 |       99.98 |      101.04
177 |             66 |      0.030 |           9 |      0 |      9 |       99.95 |      100.94
178 |           2151 |      0.030 |           1 |      0 |      1 |       99.86 |      100.24
179 |             34 |      0.030 |           6 |      0 |      6 |       99.74 |      100.23
180 |            297 |      0.032 |           3 |      0 |      3 |       99.72 |      100.36
182 |            877 |      0.029 |          13 |      1 |     14 |       98.61 |      101.17
184 |            468 |      0.031 |           4 |      0 |      4 |       99.41 |      100.39
185 |            663 |      0.032 |          16 |      0 |     16 |       98.43 |      100.12
186 |            804 |      0.032 |           3 |      0 |      3 |       99.63 |      100.10
187 |            933 |      0.030 |           5 |      0 |      5 |       98.57 |      100.13
188 |            978 |      0.029 |           2 |      0 |      2 |       99.81 |      100.51
189 |            469 |      0.030 |           4 |      0 |      4 |       98.98 |      100.09
190 |            250 |      0.030 |           3 |      0 |      3 |       98.99 |      100.00
191 |           1353 |      0.030 |           6 |      0 |      6 |       99.63 |      100.43
192 |            597 |      0.030 |           6 |      0 |      6 |       99.34 |      100.29
193 |          13612 |      0.031 |           1 |      2 |      3 |       99.16 |      100.03
194 |            275 |      0.029 |           9 |      0 |      9 |       99.10 |      100.60
195 |            502 |      0.029 |           5 |      0 |      5 |       99.60 |      100.49
196 |            338 |      0.030 |           2 |      0 |      2 |       99.86 |      100.58
197 |          20352 |      0.030 |           0 |      2 |      2 |       99.34 |      100.00
198 |           1545 |      0.030 |           3 |      0 |      3 |       99.77 |      100.26
199 |           1511 |      0.029 |           2 |      0 |      2 |       99.93 |      100.54
200 |          20658 |      0.029 |           1 |      3 |      4 |       99.33 |      100.15
201 |           5703 |      0.030 |           2 |      1 |      3 |       99.34 |      100.12
202 |            600 |      0.029 |           7 |      0 |      7 |       98.62 |      100.15
203 |           3139 |      0.029 |           2 |      1 |      3 |       99.76 |      100.44
204 |           3366 |      0.033 |           1 |      1 |      2 |       99.92 |      100.54
205 |            977 |      0.029 |           4 |      0 |      4 |       98.83 |      100.03
206 |             61 |      0.029 |           4 |      0 |      4 |       99.98 |      100.78
207 |          11576 |      0.030 |           9 |      1 |     10 |       99.82 |      100.75
208 |            698 |      0.031 |           4 |      0 |      4 |       99.86 |      100.50
209 |           1350 |      0.032 |          24 |      0 |     24 |       99.14 |      101.58
210 |           5369 |      0.029 |           6 |      0 |      6 |       99.20 |      100.10
211 |          11144 |      0.030 |           3 |      2 |      5 |       99.90 |      101.03
212 |            311 |      0.029 |           5 |      0 |      5 |       99.03 |      100.00
213 |           1066 |      0.029 |           3 |      0 |      3 |       99.82 |      100.79
214 |            130 |      0.030 |           4 |      0 |      4 |       99.88 |      100.78
215 |            479 |      0.031 |           2 |      0 |      2 |       99.86 |      100.78
216 |            427 |      0.029 |           1 |      0 |      1 |       99.81 |      100.15
217 |            603 |      0.029 |           4 |      0 |      4 |       98.81 |      100.07
218 |           1246 |      0.029 |           4 |      0 |      4 |       98.73 |      100.19
219 |            922 |      0.030 |           1 |      0 |      1 |       99.66 |      100.06
220 |            246 |      0.034 |           7 |      0 |      7 |       99.65 |      100.39
221 |           1684 |      0.030 |           2 |      0 |      2 |       99.90 |      100.55
222 |           1560 |      0.030 |           5 |      0 |      5 |       99.76 |      101.16
223 |           2403 |      0.030 |           4 |      0 |      4 |       99.79 |      100.79
224 |            539 |      0.029 |           4 |      0 |      4 |       99.62 |      100.60
225 |           1002 |      0.029 |           4 |      0 |      4 |       99.22 |      100.02
226 |             94 |      0.030 |           7 |      0 |      7 |       99.75 |      100.67
227 |           2807 |      0.030 |           1 |      0 |      1 |       99.88 |      100.27
228 |             32 |      0.030 |           9 |      0 |      9 |       99.60 |      101.04
229 |            754 |      0.030 |           2 |      0 |      2 |       99.43 |      100.20
230 |           3964 |      0.030 |           3 |      1 |      4 |       98.97 |      100.22
232 |             50 |      0.030 |           4 |      0 |      4 |       99.91 |      100.84
234 |           2136 |      0.029 |           9 |      0 |      9 |       99.66 |      100.90
235 |           1770 |      0.029 |           7 |      0 |      7 |       99.22 |      100.40
236 |            220 |      0.031 |           3 |      0 |      3 |       99.99 |      100.78
237 |             19 |      0.047 |           7 |      0 |      7 |       99.66 |      100.68
238 |            728 |      0.029 |           6 |      1 |      7 |       99.55 |      100.50
239 |           3485 |      0.030 |           4 |      1 |      5 |       99.76 |      100.93
240 |           1355 |      0.029 |           4 |      0 |      4 |       99.43 |      100.29
241 |           6123 |      0.030 |           3 |      1 |      4 |       99.94 |      100.29
242 |           2204 |      0.030 |           4 |      1 |      5 |       99.83 |      100.64
243 |          20692 |      0.029 |           0 |      2 |      2 |       99.71 |      100.40
244 |           1097 |      0.029 |           7 |      0 |      7 |       99.92 |      101.62
245 |          19157 |      0.031 |           1 |      1 |      2 |       99.58 |      100.19
246 |            321 |      0.029 |           3 |      0 |      3 |       99.57 |      100.19
248 |           1071 |      0.029 |           4 |      0 |      4 |       98.86 |      100.02
250 |           4509 |      0.029 |           2 |      1 |      3 |       99.99 |      100.52
251 |           3963 |      0.031 |           7 |      1 |      8 |       99.84 |      100.85
252 |            246 |      0.029 |           5 |      0 |      5 |       99.82 |      101.81
253 |            813 |      0.030 |           3 |      0 |      3 |       99.46 |      100.14
254 |           1840 |      0.029 |           1 |      0 |      1 |       99.65 |      100.21
255 |            249 |      0.031 |           6 |      0 |      6 |       99.35 |      100.43
256 |            548 |      0.030 |           6 |      0 |      6 |       99.74 |      100.68
257 |          16867 |      0.031 |           1 |      5 |      6 |       99.99 |      101.82
258 |           1053 |      0.030 |           4 |      0 |      4 |       99.29 |      100.31
259 |          10784 |      0.031 |           2 |      0 |      2 |       99.50 |      100.20
260 |            669 |      0.034 |           6 |      0 |      6 |       99.94 |      100.95
261 |            271 |      0.030 |           7 |      0 |      7 |       99.60 |      100.96
262 |          13196 |      0.029 |           5 |      2 |      7 |       98.44 |      100.02
263 |             19 |      0.031 |          11 |      0 |     11 |       99.01 |      100.10
264 |             19 |      0.030 |           6 |      0 |      6 |       99.99 |      100.72
265 |             84 |      0.034 |           4 |      0 |      4 |       99.48 |      100.49
266 |           2167 |      0.031 |           5 |      0 |      5 |       99.67 |      100.16
267 |           1751 |      0.031 |           1 |      0 |      1 |       99.54 |      100.16
269 |           1842 |      0.029 |           1 |      0 |      1 |       99.76 |      100.23
271 |           2528 |      0.031 |           3 |      0 |      3 |       99.68 |      100.28
275 |           2107 |      0.034 |          10 |      0 |     10 |       98.06 |      100.18
276 |            403 |      0.030 |           5 |      0 |      5 |       99.21 |      100.22
277 |            815 |      0.031 |          11 |      0 |     11 |       98.08 |      100.13

Days with Vol Strength ≥ 0.029: 233
Average Missed (with hit): 0.33

==============================================================================================================
SECTION B — Days where Vol Strength never reached 0.029
==============================================================================================================
Day | Vol Max | Missed | Total | PB9_T1 Min | PB9_T1 Max
----|----------|--------|--------|-------------|-------------
  3 |    0.023 |      3 |      3 |       99.27 |      100.00
  8 |    0.017 |      1 |      1 |       99.76 |      100.08
 11 |    0.029 |      2 |      2 |      100.00 |      100.54
 16 |    0.027 |      1 |      1 |       99.82 |      100.34
 26 |    0.024 |      2 |      2 |       99.95 |      100.33
 27 |    0.023 |      1 |      1 |       99.83 |      100.30
 34 |    0.026 |      3 |      3 |       99.72 |      100.51
 36 |    0.023 |      2 |      2 |       99.38 |      100.05
 47 |    0.029 |      3 |      3 |       99.07 |      100.02
 52 |    0.021 |      2 |      2 |       99.94 |      100.49
 55 |    0.021 |      2 |      2 |       99.97 |      100.34
 60 |    0.025 |      2 |      2 |       99.79 |      100.26
 66 |    0.026 |      1 |      1 |       99.87 |      100.25
 70 |    0.027 |      4 |      4 |       99.71 |      100.24
 71 |    0.022 |      1 |      1 |       99.90 |      100.48
 80 |    0.021 |      2 |      2 |       99.87 |      100.23
 81 |    0.029 |      1 |      1 |       99.52 |      100.04
 86 |    0.026 |      3 |      3 |       99.23 |      100.09
 87 |    0.025 |      2 |      2 |       99.76 |      100.38
 96 |    0.027 |      2 |      2 |       99.75 |      100.19
 97 |    0.025 |      2 |      2 |       99.63 |      100.17
100 |    0.024 |      1 |      1 |       99.78 |      100.24
103 |    0.022 |      0 |      0 |      100.00 |      100.18
106 |    0.021 |      2 |      2 |       99.80 |      100.26
111 |    0.024 |      4 |      4 |       99.51 |      100.00
114 |    0.019 |      1 |      1 |       99.86 |      100.26
117 |    0.023 |      0 |      0 |       99.85 |      100.10
124 |    0.029 |      3 |      3 |       99.59 |      100.13
130 |    0.028 |      4 |      4 |       99.68 |      100.24
142 |    0.019 |      1 |      1 |       99.84 |      100.39
152 |    0.020 |      4 |      4 |       99.91 |      100.72
156 |    0.027 |      4 |      4 |       99.49 |      100.18
166 |    0.026 |      3 |      3 |       99.91 |      100.37
171 |    0.027 |      2 |      2 |       99.90 |      100.23
181 |    0.028 |      4 |      4 |       99.49 |      100.35
183 |    0.026 |      1 |      1 |       99.74 |      100.09
231 |    0.027 |      2 |      2 |       99.50 |      100.09
233 |    0.016 |      3 |      3 |       99.97 |      100.57
247 |    0.028 |      2 |      2 |       99.99 |      100.75
249 |    0.027 |      3 |      3 |       99.59 |      100.18
268 |    0.029 |      3 |      3 |       99.86 |      100.32
270 |    0.025 |      1 |      1 |       99.80 |      100.28
272 |    0.025 |      3 |      3 |       99.68 |      100.33
273 |    0.029 |      1 |      1 |       99.53 |      100.23
274 |    0.026 |      2 |      2 |       99.97 |      100.30
278 |    0.028 |      0 |      0 |       99.84 |      100.09

Days without Vol Strength ≥ 0.029: 46
Average Vol Max (No Hit): 0.02

==============================================================================================================
OVERALL SUMMARY
==============================================================================================================
Total Missed: 173
Total Considered: 1429
Total Pairs: 1602
Average Total Pairs/Day: 5.74
==============================================================================================================
END OF REPORT
==============================================================================================================
