====================================================================================================
PB9_ADX FLUCTUATION (≥ 0.3) SUMMARY BY ADX CONDITION
====================================================================================================

Data Directory: /data/quant14/EBY
Total Days Configured: 279
Processed Valid Days: 279
ADX Window: 14 | Threshold: 84.1
Price Jump Threshold: 0.3

====================================================================================================
SECTION A — ADX > Threshold (YES)
====================================================================================================
Number of Days: 222

Day | ADX Max | ADX>Thresh | Considerable | Missed | Price Min | Price Max
 76 |   88.277 |        Yes |            4 |      0 |     99.73 |    101.09
 77 |   86.420 |        Yes |            7 |      0 |     99.79 |    101.22
 78 |   89.572 |        Yes |            7 |      0 |     99.23 |    100.41
 80 |   89.914 |        Yes |            2 |      0 |     99.87 |    100.23
 81 |   92.098 |        Yes |            1 |      0 |     99.52 |    100.04
 82 |   94.697 |        Yes |            7 |      0 |     99.59 |    100.54
 83 |   86.825 |        Yes |            4 |      0 |     99.92 |    100.53
 85 |   94.128 |        Yes |            7 |      0 |     99.42 |    100.95
 86 |   85.224 |        Yes |            3 |      0 |     99.23 |    100.09
 87 |   96.573 |        Yes |            2 |      0 |     99.76 |    100.38
 88 |   90.598 |        Yes |            3 |      0 |     99.78 |    101.02
 89 |   91.566 |        Yes |            4 |      0 |     99.45 |    100.56
 90 |   94.369 |        Yes |            6 |      0 |     99.60 |    100.94
 91 |   84.200 |        Yes |            7 |      0 |     99.19 |    100.42
 92 |   92.971 |        Yes |            6 |      0 |     99.83 |    101.17
 93 |   91.514 |        Yes |            3 |      0 |     99.84 |    100.37
 94 |   89.334 |        Yes |            2 |      0 |     99.76 |    100.44
 95 |   91.815 |        Yes |            7 |      0 |     99.59 |    100.35
 96 |   90.303 |        Yes |            2 |      0 |     99.75 |    100.19
 97 |   95.220 |        Yes |            2 |      0 |     99.63 |    100.17
 98 |  100.000 |        Yes |            4 |      0 |     99.27 |    100.24
 99 |  100.000 |        Yes |            3 |      0 |     99.41 |    100.01
100 |  100.000 |        Yes |            1 |      0 |     99.78 |    100.24
101 |   88.362 |        Yes |            1 |      0 |     99.87 |    100.36
102 |   87.201 |        Yes |            4 |      0 |     99.43 |     99.98
103 |   89.936 |        Yes |            0 |      0 |    100.01 |    100.18
104 |   98.828 |        Yes |          175 |      0 |     91.42 |    100.50
105 |   87.473 |        Yes |            5 |      0 |    100.00 |    100.91
106 |   87.959 |        Yes |            2 |      0 |     99.80 |    100.26
107 |   89.752 |        Yes |            9 |      0 |    100.00 |    101.43
108 |   89.641 |        Yes |            6 |      0 |     99.63 |    100.77
110 |   95.090 |        Yes |           33 |      0 |     98.75 |    102.88
111 |   97.601 |        Yes |            4 |      0 |     99.51 |    100.00
112 |   97.677 |        Yes |            5 |      0 |     99.62 |    100.65
115 |   91.169 |        Yes |           18 |      0 |     98.20 |    100.12
116 |   86.475 |        Yes |            7 |      0 |     99.91 |    101.10
117 |   85.902 |        Yes |            0 |      0 |     99.85 |    100.10
119 |   89.990 |        Yes |            2 |      0 |     99.78 |    100.49
120 |   86.954 |        Yes |            4 |      0 |     99.65 |    100.46
121 |  100.000 |        Yes |            2 |      0 |     99.58 |    100.15
123 |   92.965 |        Yes |           11 |      0 |     98.36 |    100.07
125 |   88.720 |        Yes |            2 |      0 |     99.32 |    100.02
126 |   94.252 |        Yes |            8 |      0 |     99.16 |    100.25
127 |   98.746 |        Yes |           14 |      0 |     98.95 |    100.38
128 |   88.855 |        Yes |            9 |      0 |     99.52 |    101.00
129 |   84.203 |        Yes |            6 |      0 |     99.22 |    100.21
130 |   97.533 |        Yes |            4 |      0 |     99.68 |    100.24
132 |   85.694 |        Yes |            6 |      0 |     99.42 |    100.00
133 |   86.622 |        Yes |            4 |      0 |     99.43 |    100.06
134 |   84.626 |        Yes |           13 |      0 |     99.59 |    100.96
135 |   85.230 |        Yes |           14 |      0 |     98.43 |    100.61
136 |   87.404 |        Yes |            6 |      0 |     99.19 |    100.19
137 |   94.578 |        Yes |           10 |      0 |     99.68 |    101.26
138 |   93.757 |        Yes |            6 |      0 |     99.45 |    100.71
139 |   91.890 |        Yes |            4 |      0 |     99.57 |    100.29
141 |   85.252 |        Yes |            7 |      0 |     99.65 |    100.77
142 |   88.205 |        Yes |            1 |      0 |     99.84 |    100.39
143 |   88.614 |        Yes |           10 |      0 |     99.70 |    100.64
145 |   95.616 |        Yes |            6 |      0 |     99.27 |     99.99
147 |   90.109 |        Yes |            9 |      0 |     99.75 |    100.97
148 |   98.510 |        Yes |            2 |      0 |     99.90 |    100.48
150 |   88.651 |        Yes |            6 |      0 |     99.53 |    100.33
151 |   88.599 |        Yes |           14 |      0 |     99.31 |    100.45
152 |   89.532 |        Yes |            4 |      0 |     99.91 |    100.72
154 |   86.470 |        Yes |            2 |      0 |     99.52 |    100.14
155 |  100.000 |        Yes |            2 |      0 |     99.98 |    100.54
156 |   85.481 |        Yes |            4 |      0 |     99.49 |    100.18
157 |   85.774 |        Yes |            5 |      0 |     99.59 |    100.37
158 |   88.184 |        Yes |           13 |      0 |     99.13 |    100.60
160 |   89.971 |        Yes |            5 |      0 |     99.64 |    100.23
161 |  100.000 |        Yes |            2 |      0 |     99.81 |    100.31
163 |   85.723 |        Yes |            1 |      0 |     99.77 |    100.35
164 |   91.641 |        Yes |            3 |      0 |     99.31 |    100.05
165 |   92.476 |        Yes |           34 |      0 |     96.29 |    100.77
167 |   84.490 |        Yes |            7 |      0 |     99.52 |    100.63
168 |   84.898 |        Yes |            6 |      0 |     98.75 |    100.50
169 |   92.693 |        Yes |            6 |      0 |     99.99 |    101.88
170 |  100.000 |        Yes |            1 |      0 |     99.61 |    100.06
171 |   84.747 |        Yes |            2 |      0 |     99.90 |    100.23
172 |   96.466 |        Yes |            1 |      0 |     99.69 |    100.27
176 |   85.379 |        Yes |            3 |      0 |     99.98 |    101.04
177 |   88.730 |        Yes |            9 |      0 |     99.95 |    100.94
178 |   93.880 |        Yes |            1 |      0 |     99.86 |    100.24
179 |  100.000 |        Yes |            6 |      0 |     99.74 |    100.23
180 |   84.640 |        Yes |            3 |      0 |     99.72 |    100.36
181 |   88.514 |        Yes |            4 |      0 |     99.49 |    100.35
182 |   88.729 |        Yes |           14 |      0 |     98.61 |    101.17
184 |   84.587 |        Yes |            4 |      0 |     99.41 |    100.39
185 |   88.739 |        Yes |           16 |      0 |     98.43 |    100.12
186 |   87.334 |        Yes |            3 |      0 |     99.63 |    100.10
187 |   94.418 |        Yes |            5 |      0 |     98.57 |    100.13
188 |   86.915 |        Yes |            2 |      0 |     99.81 |    100.51
189 |  100.000 |        Yes |            4 |      0 |     98.98 |    100.09
190 |  100.000 |        Yes |            3 |      0 |     98.99 |    100.00
191 |   89.860 |        Yes |            6 |      0 |     99.63 |    100.43
192 |   89.430 |        Yes |            8 |      0 |     99.34 |    100.29
193 |   93.481 |        Yes |            3 |      0 |     99.16 |    100.03
194 |   88.099 |        Yes |           11 |      0 |     99.10 |    100.60
195 |   85.559 |        Yes |            5 |      0 |     99.60 |    100.49
196 |   96.553 |        Yes |            5 |      0 |     99.86 |    100.58
197 |   88.857 |        Yes |            2 |      0 |     99.34 |     99.99
199 |   93.368 |        Yes |            3 |      0 |     99.93 |    100.54
201 |   87.255 |        Yes |            3 |      0 |     99.34 |    100.12
202 |   99.105 |        Yes |            7 |      0 |     98.62 |    100.15
204 |   94.194 |        Yes |            2 |      0 |     99.92 |    100.54
205 |   90.473 |        Yes |            4 |      0 |     98.83 |    100.03
206 |   96.312 |        Yes |            4 |      0 |     99.98 |    100.78
207 |   98.214 |        Yes |           10 |      0 |     99.82 |    100.75
210 |   87.078 |        Yes |            6 |      0 |     99.20 |    100.10
211 |   95.721 |        Yes |            5 |      0 |     99.90 |    101.03
212 |   86.501 |        Yes |            5 |      0 |     99.03 |    100.00
213 |   86.648 |        Yes |            3 |      0 |     99.82 |    100.79
214 |   88.681 |        Yes |            4 |      0 |     99.88 |    100.78
217 |   93.695 |        Yes |            4 |      0 |     98.81 |    100.07
218 |   87.400 |        Yes |            8 |      0 |     98.73 |    100.19
219 |  100.000 |        Yes |            1 |      0 |     99.66 |    100.06
220 |   88.282 |        Yes |            7 |      0 |     99.65 |    100.39
221 |   92.812 |        Yes |            2 |      0 |     99.90 |    100.55
222 |   89.196 |        Yes |            5 |      0 |     99.76 |    101.16
224 |   90.101 |        Yes |            4 |      0 |     99.62 |    100.60
226 |   85.388 |        Yes |            7 |      0 |     99.75 |    100.67
227 |   86.040 |        Yes |            1 |      0 |     99.88 |    100.27
228 |   85.139 |        Yes |           11 |      0 |     99.60 |    101.04
229 |   87.364 |        Yes |            2 |      0 |     99.43 |    100.20
230 |   95.947 |        Yes |            4 |      0 |     98.97 |    100.22
231 |   97.283 |        Yes |            2 |      0 |     99.50 |    100.09
232 |   86.735 |        Yes |            4 |      0 |     99.91 |    100.84
233 |   87.561 |        Yes |            3 |      0 |     99.97 |    100.57
234 |   89.827 |        Yes |            9 |      0 |     99.66 |    100.90
235 |   94.229 |        Yes |            7 |      0 |     99.22 |    100.40
238 |   88.577 |        Yes |            7 |      0 |     99.55 |    100.50
239 |   84.156 |        Yes |            5 |      0 |     99.76 |    100.93
240 |   85.569 |        Yes |            4 |      0 |     99.43 |    100.29
241 |   85.629 |        Yes |            4 |      0 |     99.94 |    100.29
242 |   88.346 |        Yes |            5 |      0 |     99.83 |    100.64
243 |   89.889 |        Yes |            4 |      0 |     99.71 |    100.40
244 |   84.591 |        Yes |            5 |      0 |     99.92 |    101.62
245 |   93.604 |        Yes |            2 |      0 |     99.58 |    100.19
247 |   93.887 |        Yes |            2 |      0 |     99.99 |    100.75
248 |   84.651 |        Yes |            4 |      0 |     98.86 |    100.02
249 |   91.039 |        Yes |            3 |      0 |     99.59 |    100.18
250 |   90.698 |        Yes |            3 |      0 |     99.99 |    100.52
252 |   85.552 |        Yes |            5 |      0 |     99.82 |    101.81
253 |   87.116 |        Yes |            4 |      0 |     99.46 |    100.14
254 |  100.000 |        Yes |            1 |      0 |     99.65 |    100.21
255 |   86.362 |        Yes |            6 |      0 |     99.35 |    100.43
256 |   93.744 |        Yes |            6 |      0 |     99.74 |    100.68
258 |   87.644 |        Yes |            4 |      0 |     99.29 |    100.31
260 |   85.728 |        Yes |            6 |      0 |     99.94 |    100.95
261 |   93.108 |        Yes |            7 |      0 |     99.60 |    100.96
262 |   86.213 |        Yes |            7 |      0 |     98.44 |    100.02
263 |   92.716 |        Yes |           11 |      0 |     99.01 |    100.10
265 |   90.292 |        Yes |            4 |      0 |     99.48 |    100.49
267 |   85.392 |        Yes |            1 |      0 |     99.54 |    100.16
268 |   90.184 |        Yes |            3 |      0 |     99.86 |    100.32
269 |   86.734 |        Yes |            1 |      0 |     99.76 |    100.23
270 |   95.804 |        Yes |            1 |      0 |     99.80 |    100.28
273 |   94.320 |        Yes |            1 |      0 |     99.53 |    100.23
274 |   88.834 |        Yes |            2 |      0 |     99.97 |    100.30
275 |   89.826 |        Yes |           10 |      0 |     98.06 |    100.18
276 |   84.526 |        Yes |            5 |      0 |     99.21 |    100.22

Total Considerable Pairs: 1351
Average Considerable Pairs/Day: 6.09

====================================================================================================

====================================================================================================
SECTION B — ADX ≤ Threshold (NO)
====================================================================================================
Number of Days: 57

Day | ADX Max | ADX>Thresh | Considerable | Missed | Price Min | Price Max
----|---------|------------|--------------|--------|-----------|----------
  1 |   83.209 |        No  |            0 |      7 |     99.67 |    100.78
 15 |   84.091 |        No  |            0 |      3 |    100.01 |    100.91
 17 |   82.769 |        No  |            0 |      2 |     99.70 |    100.25
 21 |   81.688 |        No  |            0 |      4 |     99.45 |    100.44
 27 |   83.104 |        No  |            0 |      1 |     99.83 |    100.30
 29 |   83.128 |        No  |            0 |      2 |     99.45 |    100.17
 33 |   83.955 |        No  |            0 |      3 |     99.79 |    100.72
 36 |   81.286 |        No  |            0 |      2 |     99.38 |    100.05
 42 |   80.902 |        No  |            0 |      6 |     98.85 |    100.00
 49 |   82.320 |        No  |            0 |      3 |     98.84 |    100.02
 52 |   83.533 |        No  |            0 |      2 |     99.94 |    100.49
 56 |   82.155 |        No  |            0 |     11 |     99.07 |    100.49
 65 |   78.122 |        No  |            0 |      1 |     99.98 |    100.48
 66 |   84.008 |        No  |            0 |      1 |     99.87 |    100.25
 73 |   79.753 |        No  |            0 |      3 |     99.83 |    100.86
 79 |   83.455 |        No  |            0 |      4 |     98.96 |    100.11
 84 |   80.195 |        No  |            0 |      5 |     99.88 |    100.78
109 |   81.840 |        No  |            0 |      3 |     99.96 |    100.68
113 |   78.158 |        No  |            0 |      3 |     99.70 |    100.35
114 |   81.159 |        No  |            0 |      1 |     99.86 |    100.26
118 |   81.261 |        No  |            0 |      3 |     99.78 |    100.99
122 |   79.097 |        No  |            0 |      2 |     99.74 |    100.56
124 |   79.515 |        No  |            0 |      3 |     99.59 |    100.13
131 |   81.123 |        No  |            0 |      6 |     99.94 |    100.62
140 |   84.077 |        No  |            0 |      1 |     99.89 |    100.35
144 |   84.033 |        No  |            0 |      5 |     99.62 |    100.22
146 |   77.804 |        No  |            0 |      2 |     99.89 |    100.36
149 |   81.287 |        No  |            0 |      9 |     99.13 |    100.44
153 |   80.925 |        No  |            0 |      3 |     99.79 |    101.05
159 |   81.245 |        No  |            0 |      3 |     99.39 |    100.23
162 |   82.282 |        No  |            0 |     15 |     97.98 |    100.10
166 |   73.986 |        No  |            0 |      3 |     99.91 |    100.37
173 |   83.148 |        No  |            0 |      8 |     98.55 |    100.04
174 |   83.900 |        No  |            0 |     19 |     98.76 |    100.63
175 |   84.077 |        No  |            0 |      5 |     99.99 |    101.31
183 |   76.325 |        No  |            0 |      1 |     99.74 |    100.09
198 |   73.732 |        No  |            0 |      3 |     99.77 |    100.26
200 |   81.252 |        No  |            0 |      4 |     99.33 |    100.15
203 |   80.848 |        No  |            0 |      3 |     99.76 |    100.44
208 |   83.537 |        No  |            0 |      5 |     99.86 |    100.50
209 |   79.976 |        No  |            0 |     24 |     99.14 |    101.58
215 |   82.780 |        No  |            0 |      2 |     99.86 |    100.78
216 |   81.450 |        No  |            0 |      1 |     99.81 |    100.15
223 |   84.010 |        No  |            0 |      4 |     99.79 |    100.79
225 |   82.359 |        No  |            0 |      3 |     99.22 |    100.02
236 |   81.190 |        No  |            0 |      3 |     99.99 |    100.78
237 |   82.550 |        No  |            0 |      9 |     99.66 |    100.68
246 |   83.549 |        No  |            0 |      3 |     99.57 |    100.19
251 |   81.864 |        No  |            0 |      8 |     99.84 |    100.85
257 |   81.791 |        No  |            0 |      6 |     99.99 |    101.82
259 |   81.144 |        No  |            0 |      2 |     99.50 |    100.20
264 |   78.608 |        No  |            0 |      6 |     99.99 |    100.72
266 |   82.349 |        No  |            0 |      5 |     99.67 |    100.16
271 |   83.467 |        No  |            0 |      3 |     99.68 |    100.28
272 |   82.367 |        No  |            0 |      3 |     99.68 |    100.33
277 |   83.835 |        No  |            0 |     13 |     98.08 |    100.13
278 |   81.286 |        No  |            0 |      0 |     99.84 |    100.09

Total Missed Pairs: 265
Average Missed Pairs/Day: 4.65

====================================================================================================
OVERALL SUMMARY
====================================================================================================
Total Valid Days: 279
  ADX > 84.1: 222 days
  ADX ≤ 84.1: 57 days

Total Considerable Pairs: 1351
Total Missed Pairs: 265

Average Pairs/Day (All): 5.79

====================================================================================================
END OF REPORT
====================================================================================================
