===================================================================================================================
PB9_T1 — ATR + VOLATILITY + PRICE FLUCTUATION (≥ 0.3) SUMMARY (PARALLEL 25 CPU)
===================================================================================================================

Data Directory: /data/quant14/EBY
ATR Window: 300 | ATR Threshold: 0.01
SMA Window: 300 | VOL Threshold: 0.06
Price Jump Threshold: 0.3
Days Processed: 279 / 279

===================================================================================================================
SECTION A — Days meeting all 3 conditions: ATR > 0.01, Vol > 0.06, Price Δ ≥ 0.3
===================================================================================================================
Day | ATR @Index | ATR Value | Vol @Index | Vol Value | Price Jumps | Price Range | PB9 Min | PB9 Max
 48 |           0 |    0.02626 |        2601 |    0.06018 |            3 |       0.6458 |    99.83 |   100.48
 47 |           0 |    0.01451 |         818 |    0.06009 |            3 |       0.9483 |    99.07 |   100.02
 50 |           0 |    0.01191 |         309 |    0.06015 |            9 |       2.2110 |    99.92 |   102.13
 46 |           0 |    0.01252 |        1827 |    0.06003 |            2 |       0.5710 |    99.63 |   100.20
 51 |           1 |    0.01105 |        8319 |    0.06017 |            2 |       0.6687 |    99.85 |   100.52
 53 |           0 |    0.04192 |        3818 |    0.06001 |            4 |       0.7604 |    99.91 |   100.67
  0 |           1 |    0.01108 |        9599 |    0.06213 |            7 |       0.9626 |    99.50 |   100.47
 54 |           0 |    0.01610 |        1794 |    0.06033 |            6 |       0.9640 |    99.96 |   100.92
  3 |           0 |    0.02573 |        3691 |    0.06015 |            3 |       0.7347 |    99.27 |   100.00
 61 |           0 |    0.01984 |         299 |    0.10628 |           18 |       1.2078 |    99.71 |   100.92
 58 |         406 |    0.01009 |         299 |    0.07258 |           12 |       0.9557 |    99.33 |   100.29
 62 |           0 |    0.01013 |         299 |    0.06065 |            3 |       1.1258 |    99.14 |   100.26
 68 |           0 |    0.01874 |         545 |    0.06019 |            9 |       0.8688 |    99.89 |   100.76
 70 |           0 |    0.01176 |        1170 |    0.06025 |            4 |       0.5280 |    99.71 |   100.24
 72 |           0 |    0.02039 |         299 |    0.06655 |           14 |       2.0674 |    98.74 |   100.81
 59 |           0 |    0.04836 |         690 |    0.06016 |            2 |       0.6460 |    99.78 |   100.42
 67 |           0 |    0.01300 |        1892 |    0.06029 |            3 |       1.0569 |    99.80 |   100.86
 20 |           2 |    0.01876 |         299 |    0.12680 |           12 |       1.2077 |    98.80 |   100.01
 73 |           1 |    0.01178 |         410 |    0.06020 |            3 |       1.0249 |    99.83 |   100.86
 75 |           0 |    0.01192 |         342 |    0.06040 |            2 |       0.5848 |    99.66 |   100.24
 77 |           0 |    0.01786 |         418 |    0.06019 |            7 |       1.4303 |    99.79 |   101.22
 79 |           0 |    0.01162 |        1596 |    0.06033 |            4 |       1.1488 |    98.96 |   100.11
 64 |           1 |    0.01786 |         299 |    0.07263 |            3 |       0.5534 |    99.63 |   100.18
 76 |           0 |    0.01694 |         933 |    0.06007 |            4 |       1.3589 |    99.73 |   101.09
 21 |           1 |    0.01040 |       17888 |    0.06017 |            4 |       0.9932 |    99.45 |   100.44
 74 |           0 |    0.01816 |         681 |    0.06008 |            4 |       0.6185 |    99.80 |   100.42
 88 |           0 |    0.02504 |        1671 |    0.06012 |            3 |       1.2389 |    99.78 |   101.02
 82 |           1 |    0.01618 |         567 |    0.06066 |            7 |       0.9477 |    99.59 |   100.54
 90 |           0 |    0.01568 |         371 |    0.06052 |            6 |       1.3399 |    99.60 |   100.94
 92 |           0 |    0.03031 |         310 |    0.06105 |            6 |       1.3373 |    99.83 |   101.17
 89 |           2 |    0.01146 |        9579 |    0.06004 |            4 |       1.1151 |    99.45 |   100.56
102 |           0 |    0.01793 |         375 |    0.06027 |            4 |       0.5681 |    99.43 |   100.00
 91 |           0 |    0.01692 |        1273 |    0.06021 |            9 |       1.2340 |    99.19 |   100.42
 83 |           0 |    0.01327 |         483 |    0.06071 |            4 |       0.6158 |    99.92 |   100.53
 98 |           0 |    0.01008 |        3108 |    0.06001 |            4 |       0.9606 |    99.27 |   100.24
107 |           0 |    0.01582 |         354 |    0.06007 |            9 |       1.4281 |   100.00 |   101.43
104 |           0 |    0.02199 |         299 |    0.21706 |          175 |       9.0794 |    91.42 |   100.50
 94 |           2 |    0.01057 |         299 |    0.06305 |            2 |       0.6827 |    99.76 |   100.44
110 |           0 |    0.01455 |         299 |    0.29555 |           33 |       4.1326 |    98.75 |   102.88
 97 |           0 |    0.02013 |         876 |    0.06011 |            2 |       0.5325 |    99.63 |   100.17
120 |           0 |    0.01996 |         448 |    0.06010 |            4 |       0.8088 |    99.65 |   100.46
115 |           0 |    0.01541 |         371 |    0.06009 |           18 |       1.9154 |    98.20 |   100.12
116 |           0 |    0.01095 |         347 |    0.06003 |            7 |       1.1877 |    99.91 |   101.10
119 |           0 |    0.01299 |        1729 |    0.06019 |            2 |       0.7119 |    99.78 |   100.49
123 |           3 |    0.01149 |         299 |    0.07140 |           11 |       1.7116 |    98.36 |   100.07
121 |           1 |    0.01268 |         340 |    0.06057 |            2 |       0.5682 |    99.58 |   100.15
112 |           0 |    0.01264 |         299 |    0.08109 |            5 |       1.0304 |    99.62 |   100.65
126 |           0 |    0.03075 |        1078 |    0.06012 |            8 |       1.0868 |    99.16 |   100.25
124 |           0 |    0.01334 |       13020 |    0.06027 |            3 |       0.5339 |    99.59 |   100.13
127 |        9107 |    0.01000 |         897 |    0.06021 |           12 |       1.4331 |    98.95 |   100.38
 96 |           2 |    0.01205 |         890 |    0.06022 |            2 |       0.4483 |    99.75 |   100.19
139 |           1 |    0.01436 |        3826 |    0.06019 |            4 |       0.7228 |    99.57 |   100.29
134 |       15849 |    0.01002 |         299 |    0.07237 |           13 |       1.3676 |    99.59 |   100.96
128 |           0 |    0.01885 |         526 |    0.06010 |           11 |       1.4759 |    99.52 |   101.00
132 |           0 |    0.01583 |        7315 |    0.06050 |            6 |       0.5884 |    99.42 |   100.00
143 |        7874 |    0.01007 |         686 |    0.06015 |           10 |       0.9356 |    99.70 |   100.64
145 |           0 |    0.01140 |        1434 |    0.06017 |            6 |       0.7333 |    99.27 |   100.00
138 |           2 |    0.01157 |         299 |    0.12282 |            6 |       1.2637 |    99.45 |   100.71
131 |           0 |    0.01042 |        8004 |    0.06013 |            6 |       0.6766 |    99.94 |   100.62
135 |           0 |    0.02480 |        1253 |    0.06025 |           12 |       2.1795 |    98.43 |   100.61
137 |           0 |    0.01826 |        3013 |    0.06025 |           10 |       1.5816 |    99.68 |   101.26
141 |           0 |    0.02131 |         299 |    0.07373 |            7 |       1.1137 |    99.65 |   100.77
136 |           0 |    0.02021 |         529 |    0.06005 |            6 |       0.9999 |    99.19 |   100.19
147 |           0 |    0.02272 |        1111 |    0.06018 |            9 |       1.2180 |    99.75 |   100.97
144 |           0 |    0.02772 |        2847 |    0.06009 |            5 |       0.5932 |    99.62 |   100.22
153 |           4 |    0.01222 |         948 |    0.06000 |            3 |       1.2632 |    99.79 |   101.05
158 |           0 |    0.02825 |         299 |    0.07837 |           11 |       1.4752 |    99.13 |   100.60
154 |           4 |    0.01042 |         299 |    0.10285 |            2 |       0.6270 |    99.52 |   100.14
162 |           0 |    0.01076 |         946 |    0.06018 |           15 |       2.1129 |    97.98 |   100.10
150 |           1 |    0.01844 |         519 |    0.06006 |            6 |       0.8038 |    99.53 |   100.33
160 |           1 |    0.01256 |         299 |    0.07633 |            5 |       0.5898 |    99.64 |   100.23
157 |           1 |    0.01228 |        1717 |    0.06029 |            5 |       0.7761 |    99.59 |   100.37
167 |           1 |    0.01104 |         492 |    0.06033 |            7 |       1.1118 |    99.52 |   100.63
169 |           0 |    0.03486 |        1176 |    0.06002 |            8 |       1.8849 |    99.99 |   101.88
176 |           0 |    0.01392 |         511 |    0.06019 |            3 |       1.0639 |    99.98 |   101.04
168 |           1 |    0.01021 |         299 |    0.07774 |            6 |       1.7544 |    98.75 |   100.50
165 |           0 |    0.08412 |         299 |    1.01907 |           34 |       4.4787 |    96.29 |   100.77
152 |           1 |    0.01210 |        1162 |    0.06009 |            4 |       0.8096 |    99.91 |   100.72
155 |           0 |    0.01566 |        1156 |    0.06029 |            2 |       0.5540 |    99.98 |   100.54
175 |           0 |    0.01131 |         450 |    0.06026 |            5 |       1.3226 |    99.99 |   101.31
177 |           0 |    0.02215 |         299 |    0.12040 |            9 |       0.9970 |    99.95 |   100.94
182 |           0 |    0.02092 |         366 |    0.06001 |           14 |       2.5551 |    98.61 |   101.17
180 |           0 |    0.03027 |         299 |    0.06636 |            3 |       0.6350 |    99.72 |   100.36
172 |           0 |    0.01756 |        2414 |    0.06024 |            1 |       0.5797 |    99.69 |   100.27
185 |           0 |    0.02501 |         997 |    0.06027 |           16 |       1.6946 |    98.43 |   100.12
181 |           2 |    0.01008 |        5187 |    0.06024 |            4 |       0.8505 |    99.49 |   100.35
179 |           0 |    0.01888 |         299 |    0.07015 |            6 |       0.4971 |    99.74 |   100.23
186 |           0 |    0.01054 |         830 |    0.06012 |            3 |       0.4682 |    99.63 |   100.10
174 |           0 |    0.02736 |         505 |    0.06018 |           19 |       1.8715 |    98.76 |   100.63
187 |           0 |    0.01134 |         993 |    0.06010 |            5 |       1.5590 |    98.57 |   100.13
199 |           0 |    0.01614 |        1869 |    0.06006 |            2 |       0.6043 |    99.93 |   100.54
195 |           0 |    0.02654 |         460 |    0.06063 |            5 |       0.8944 |    99.60 |   100.49
197 |           0 |    0.01327 |       20328 |    0.06007 |            2 |       0.6604 |    99.34 |   100.00
196 |           0 |    0.01693 |         813 |    0.06004 |            2 |       0.7146 |    99.86 |   100.58
202 |           0 |    0.01510 |         442 |    0.06004 |            7 |       1.5293 |    98.62 |   100.15
184 |           0 |    0.02840 |         299 |    0.06369 |            4 |       0.9799 |    99.41 |   100.39
206 |           0 |    0.01434 |         299 |    0.09167 |            4 |       0.7992 |    99.98 |   100.78
192 |           0 |    0.02374 |        1153 |    0.06020 |            6 |       0.9480 |    99.34 |   100.29
194 |           0 |    0.01167 |         442 |    0.06033 |            9 |       1.4975 |    99.10 |   100.60
207 |       17366 |    0.01001 |       11617 |    0.06031 |           10 |       0.9332 |    99.82 |   100.75
212 |           0 |    0.01225 |         299 |    0.06426 |            5 |       0.9684 |    99.03 |   100.00
218 |           0 |    0.01743 |         854 |    0.06019 |            4 |       1.4572 |    98.73 |   100.19
208 |           1 |    0.01268 |         411 |    0.06009 |            4 |       0.6440 |    99.86 |   100.50
211 |           0 |    0.02962 |       11188 |    0.06020 |            5 |       1.1322 |    99.90 |   101.03
209 |       10409 |    0.01001 |        1371 |    0.06105 |           24 |       2.4385 |    99.14 |   101.58
214 |           0 |    0.02177 |         299 |    0.08589 |            4 |       0.8989 |    99.88 |   100.78
234 |           0 |    0.01242 |        2696 |    0.06006 |            9 |       1.2336 |    99.66 |   100.90
217 |           0 |    0.01584 |        1042 |    0.06036 |            4 |       1.2578 |    98.81 |   100.07
226 |          11 |    0.01137 |         299 |    0.08781 |            7 |       0.9218 |    99.75 |   100.67
215 |           0 |    0.01849 |        1433 |    0.06022 |            2 |       0.9237 |    99.86 |   100.78
228 |           0 |    0.01294 |         299 |    0.06934 |            9 |       1.4459 |    99.60 |   101.04
224 |           1 |    0.01583 |         312 |    0.06007 |            4 |       0.9838 |    99.62 |   100.60
257 |           1 |    0.01282 |        1320 |    0.06013 |            6 |       1.8289 |    99.99 |   101.82
258 |           0 |    0.01800 |         662 |    0.06014 |            4 |       1.0163 |    99.29 |   100.31
238 |           2 |    0.01287 |         842 |    0.06085 |            7 |       0.9462 |    99.55 |   100.50
260 |           4 |    0.01072 |         693 |    0.06006 |            6 |       1.0156 |    99.94 |   100.95
261 |           0 |    0.01422 |         727 |    0.06018 |            7 |       1.3656 |    99.60 |   100.96
263 |           0 |    0.01837 |         299 |    0.07242 |           11 |       1.0851 |    99.01 |   100.10
264 |           3 |    0.01029 |         299 |    0.09395 |            6 |       0.7382 |    99.99 |   100.72
265 |           0 |    0.04120 |         746 |    0.06029 |            4 |       1.0044 |    99.48 |   100.49
269 |           6 |    0.01157 |        1805 |    0.06032 |            1 |       0.4668 |    99.76 |   100.23
272 |           0 |    0.01162 |         498 |    0.06003 |            3 |       0.6507 |    99.68 |   100.33
237 |           0 |    0.04982 |         299 |    0.09787 |            7 |       1.0175 |    99.66 |   100.68
271 |           0 |    0.01771 |        1465 |    0.06015 |            3 |       0.5985 |    99.68 |   100.28
235 |           0 |    0.01015 |        2931 |    0.06012 |            7 |       1.1752 |    99.22 |   100.40
253 |           0 |    0.02416 |         904 |    0.06003 |            3 |       0.6787 |    99.46 |   100.14
277 |           0 |    0.01965 |         435 |    0.06017 |           11 |       2.0523 |    98.08 |   100.13
256 |           0 |    0.02858 |         299 |    0.06872 |            6 |       0.9417 |    99.74 |   100.68
250 |           0 |    0.02913 |         299 |    0.06461 |            3 |       0.5238 |    99.99 |   100.52
255 |           0 |    0.02721 |         299 |    0.07394 |            6 |       1.0709 |    99.35 |   100.43
251 |           0 |    0.01071 |         856 |    0.06005 |            8 |       1.0086 |    99.84 |   100.85
243 |           0 |    0.01541 |         299 |    0.06216 |            2 |       0.6889 |    99.71 |   100.40
275 |           0 |    0.01176 |        2195 |    0.06001 |           10 |       2.1207 |    98.06 |   100.18
245 |           0 |    0.01867 |         702 |    0.06001 |            2 |       0.6078 |    99.58 |   100.19
246 |           2 |    0.01011 |         545 |    0.06036 |            3 |       0.6204 |    99.57 |   100.19

Total Qualifying Days (ATR>0.01, Vol>0.06, Δ≥0.3): 154
Average Price Range: 0.9856
===================================================================================================================
END OF REPORT
===================================================================================================================
