==============================================================================================================
PB9_ADX (80–90) — AUTO-OPTIMIZED THRESHOLD FOR LEAST MISSED FLUCTUATIONS (≥ 0.3)
==============================================================================================================

Data Directory: /data/quant14/EBY
ADX Window: 600
Threshold Range: 7–8 step=0.1
Days Processed: 279 / 279

==============================================================================================================
SECTION A — Days where ADX reached ≥ Best Threshold
==============================================================================================================
Day | Best Thresh | ADX Hit @Index | ADX Value | Considered | Missed | Total | Price Min | Price Max
 67 |         7.00 |           4381 |      7.010 |           2 |      1 |      3 |     99.80 |    100.86
 68 |         7.00 |           1783 |      7.005 |           8 |      1 |      9 |     99.89 |    100.76
 69 |         7.00 |           4305 |      7.001 |           3 |      2 |      5 |     99.92 |    100.95
 70 |         7.00 |           1062 |      7.004 |           3 |      1 |      4 |     99.71 |    100.24
 71 |         7.00 |           7064 |      7.016 |           0 |      1 |      1 |     99.90 |    100.48
 72 |         7.00 |           5555 |      7.004 |           8 |      2 |     10 |     98.74 |    100.81
 73 |         7.00 |           1556 |      7.005 |           3 |      0 |      3 |     99.83 |    100.86
 74 |         7.00 |           1146 |      7.017 |           3 |      1 |      4 |     99.80 |    100.42
 75 |         7.00 |           4147 |      7.006 |           2 |      0 |      2 |     99.66 |    100.24
 76 |         7.00 |           4875 |      7.001 |           3 |      1 |      4 |     99.73 |    101.09
 77 |         7.00 |           1094 |      7.007 |           6 |      1 |      7 |     99.79 |    101.22
 78 |         7.00 |           3849 |      7.003 |           6 |      1 |      7 |     99.23 |    100.41
 79 |         7.00 |          10386 |      7.002 |           3 |      1 |      4 |     98.96 |    100.11
 80 |         7.00 |           5915 |      7.004 |           0 |      2 |      2 |     99.87 |    100.23
 81 |         7.00 |           3679 |      7.005 |           1 |      0 |      1 |     99.52 |    100.04
 82 |         7.00 |           6811 |      7.013 |           3 |      4 |      7 |     99.59 |    100.54
 83 |         7.00 |           6680 |      7.006 |           2 |      2 |      4 |     99.92 |    100.53
 84 |         7.00 |            923 |      7.001 |           5 |      0 |      5 |     99.88 |    100.78
 85 |         7.00 |           1879 |      7.004 |           5 |      2 |      7 |     99.42 |    100.95
 86 |         7.00 |           3158 |      7.005 |           3 |      0 |      3 |     99.23 |    100.09
 87 |         7.00 |           4722 |      7.001 |           2 |      0 |      2 |     99.76 |    100.38
 88 |         7.00 |           2035 |      7.007 |           3 |      0 |      3 |     99.78 |    101.02
 89 |         7.00 |           8981 |      7.008 |           4 |      0 |      4 |     99.45 |    100.56
 90 |         7.00 |           1728 |      7.002 |           4 |      2 |      6 |     99.60 |    100.94
 91 |         7.00 |           2877 |      7.009 |           6 |      1 |      7 |     99.19 |    100.42
 92 |         7.00 |           5484 |      7.001 |           4 |      2 |      6 |     99.83 |    101.17
 93 |         7.00 |           2175 |      7.002 |           1 |      2 |      3 |     99.84 |    100.37
 94 |         7.00 |           8406 |      7.006 |           1 |      1 |      2 |     99.76 |    100.44
 95 |         7.00 |           4591 |      7.019 |           5 |      2 |      7 |     99.59 |    100.35
 96 |         7.00 |           8147 |      7.007 |           0 |      2 |      2 |     99.75 |    100.19
 97 |         7.00 |           5737 |      7.000 |           1 |      1 |      2 |     99.63 |    100.17
 98 |         7.00 |           3268 |      7.006 |           3 |      1 |      4 |     99.27 |    100.24
 99 |         7.00 |           1501 |      7.004 |           2 |      1 |      3 |     99.41 |    100.01
100 |         7.00 |           9089 |      7.002 |           1 |      0 |      1 |     99.78 |    100.24
101 |         7.00 |           1563 |      7.000 |           1 |      0 |      1 |     99.87 |    100.36
102 |         7.00 |           1870 |      7.000 |           3 |      1 |      4 |     99.43 |     99.98
104 |         7.00 |            901 |      7.009 |         161 |     14 |    175 |     91.42 |    100.50
105 |         7.00 |          19618 |      7.009 |           1 |      4 |      5 |    100.00 |    100.91
106 |         7.00 |           2503 |      7.008 |           2 |      0 |      2 |     99.80 |    100.26
107 |         7.00 |           1391 |      7.000 |           8 |      1 |      9 |    100.00 |    101.43
108 |         7.00 |           4183 |      7.005 |           4 |      2 |      6 |     99.63 |    100.77
109 |         7.00 |           1519 |      7.015 |           2 |      1 |      3 |     99.96 |    100.68
110 |         7.00 |           3284 |      7.009 |          24 |      9 |     33 |     98.75 |    102.88
111 |         7.00 |           1778 |      7.013 |           3 |      1 |      4 |     99.51 |    100.00
112 |         7.00 |           1300 |      7.002 |           4 |      1 |      5 |     99.62 |    100.65
113 |         7.00 |           1854 |      7.011 |           3 |      0 |      3 |     99.70 |    100.35
114 |         7.00 |           2349 |      7.006 |           1 |      0 |      1 |     99.86 |    100.26
115 |         7.00 |           2617 |      7.009 |          16 |      2 |     18 |     98.20 |    100.12
116 |         7.00 |           1364 |      7.007 |           5 |      2 |      7 |     99.91 |    101.10
117 |         7.00 |          12989 |      7.003 |           0 |      0 |      0 |     99.85 |    100.10
118 |         7.00 |           2489 |      7.006 |           3 |      0 |      3 |     99.78 |    100.99
119 |         7.00 |           1932 |      7.010 |           2 |      0 |      2 |     99.78 |    100.49
120 |         7.00 |           6116 |      7.008 |           3 |      1 |      4 |     99.65 |    100.46
121 |         7.00 |           1504 |      7.002 |           1 |      1 |      2 |     99.58 |    100.15
122 |         7.00 |           4207 |      7.005 |           2 |      0 |      2 |     99.74 |    100.56
123 |         7.00 |           5790 |      7.011 |           9 |      2 |     11 |     98.36 |    100.07
124 |         7.00 |           4117 |      7.007 |           3 |      0 |      3 |     99.59 |    100.13
125 |         7.00 |           1016 |      7.002 |           1 |      1 |      2 |     99.32 |    100.02
126 |         7.00 |           1202 |      7.016 |           7 |      1 |      8 |     99.16 |    100.25
127 |         7.00 |           1046 |      7.007 |          13 |      1 |     14 |     98.95 |    100.38
128 |         7.00 |           1057 |      7.005 |           8 |      1 |      9 |     99.52 |    101.00
129 |         7.00 |           6178 |      7.001 |           5 |      1 |      6 |     99.22 |    100.21
130 |         7.00 |           5412 |      7.004 |           3 |      1 |      4 |     99.68 |    100.24
131 |         7.00 |           1858 |      7.011 |           6 |      0 |      6 |     99.94 |    100.62
132 |         7.00 |           7567 |      7.003 |           4 |      2 |      6 |     99.42 |    100.00
133 |         7.00 |           3298 |      7.003 |           4 |      0 |      4 |     99.43 |    100.06
134 |         7.00 |           2504 |      7.004 |          11 |      2 |     13 |     99.59 |    100.96
135 |         7.00 |           1615 |      7.008 |          12 |      2 |     14 |     98.43 |    100.61
136 |         7.00 |           1113 |      7.007 |           5 |      1 |      6 |     99.19 |    100.19
137 |         7.00 |           1517 |      7.004 |          10 |      0 |     10 |     99.68 |    101.26
138 |         7.00 |           2751 |      7.014 |           2 |      4 |      6 |     99.45 |    100.71
139 |         7.00 |           3137 |      7.014 |           3 |      1 |      4 |     99.57 |    100.29
140 |         7.00 |           3124 |      7.003 |           1 |      0 |      1 |     99.89 |    100.35
141 |         7.00 |           5298 |      7.010 |           5 |      2 |      7 |     99.65 |    100.77
142 |         7.00 |          10063 |      7.009 |           1 |      0 |      1 |     99.84 |    100.39
143 |         7.00 |           7734 |      7.014 |           7 |      3 |     10 |     99.70 |    100.64
144 |         7.00 |          10109 |      7.003 |           2 |      3 |      5 |     99.62 |    100.22
145 |         7.00 |           3817 |      7.005 |           5 |      1 |      6 |     99.27 |     99.99
146 |         7.00 |           4517 |      7.003 |           2 |      0 |      2 |     99.89 |    100.36
147 |         7.00 |           1496 |      7.000 |           9 |      0 |      9 |     99.75 |    100.97
148 |         7.00 |          13640 |      7.009 |           1 |      1 |      2 |     99.90 |    100.48
149 |         7.00 |           2490 |      7.010 |           8 |      1 |      9 |     99.13 |    100.44
150 |         7.00 |           6800 |      7.000 |           1 |      5 |      6 |     99.53 |    100.33
151 |         7.00 |          11074 |      7.001 |           7 |      7 |     14 |     99.31 |    100.45
152 |         7.00 |           1123 |      7.010 |           4 |      0 |      4 |     99.91 |    100.72
153 |         7.00 |           1503 |      7.008 |           2 |      1 |      3 |     99.79 |    101.05
154 |         7.00 |           5306 |      7.004 |           1 |      1 |      2 |     99.52 |    100.14
155 |         7.00 |          11725 |      7.012 |           0 |      2 |      2 |     99.98 |    100.54
156 |         7.00 |           1167 |      7.002 |           4 |      0 |      4 |     99.49 |    100.18
157 |         7.00 |           2188 |      7.004 |           5 |      0 |      5 |     99.59 |    100.37
158 |         7.00 |           6548 |      7.002 |          10 |      3 |     13 |     99.13 |    100.60
159 |         7.00 |           4000 |      7.003 |           2 |      1 |      3 |     99.39 |    100.23
160 |         7.00 |           5883 |      7.000 |           1 |      4 |      5 |     99.64 |    100.23
161 |         7.00 |           2168 |      7.010 |           1 |      1 |      2 |     99.81 |    100.31
162 |         7.00 |           1748 |      7.000 |          14 |      1 |     15 |     97.98 |    100.10
163 |         7.00 |           2290 |      7.005 |           1 |      0 |      1 |     99.77 |    100.35
164 |         7.00 |           1397 |      7.004 |           3 |      0 |      3 |     99.31 |    100.05
165 |         7.00 |           1064 |      7.014 |          24 |     10 |     34 |     96.29 |    100.77
166 |         7.00 |           1953 |      7.001 |           3 |      0 |      3 |     99.91 |    100.37
167 |         7.00 |           1537 |      7.005 |           5 |      2 |      7 |     99.52 |    100.63
168 |         7.00 |           3498 |      7.004 |           4 |      2 |      6 |     98.75 |    100.50
169 |         7.00 |           2515 |      7.022 |           4 |      2 |      6 |     99.99 |    101.88
170 |         7.00 |           4840 |      7.008 |           0 |      1 |      1 |     99.61 |    100.06
171 |         7.00 |          10650 |      7.005 |           2 |      0 |      2 |     99.90 |    100.23
172 |         7.00 |           2750 |      7.012 |           1 |      0 |      1 |     99.69 |    100.27
173 |         7.00 |           1115 |      7.011 |           7 |      1 |      8 |     98.55 |    100.04
174 |         7.00 |           5023 |      7.002 |          16 |      3 |     19 |     98.76 |    100.63
175 |         7.00 |            925 |      7.015 |           4 |      1 |      5 |     99.99 |    101.31
176 |         7.00 |           1113 |      7.003 |           2 |      1 |      3 |     99.98 |    101.04
177 |         7.00 |           5316 |      7.013 |           5 |      4 |      9 |     99.95 |    100.94
178 |         7.00 |          10177 |      7.003 |           1 |      0 |      1 |     99.86 |    100.24
179 |         7.00 |           6955 |      7.004 |           1 |      5 |      6 |     99.74 |    100.23
180 |         7.00 |          10419 |      7.005 |           2 |      1 |      3 |     99.72 |    100.36
181 |         7.00 |           5329 |      7.014 |           4 |      0 |      4 |     99.49 |    100.35
182 |         7.00 |           1100 |      7.006 |          13 |      1 |     14 |     98.61 |    101.17
183 |         7.00 |           5964 |      7.010 |           0 |      1 |      1 |     99.74 |    100.09
184 |         7.00 |           2491 |      7.003 |           3 |      1 |      4 |     99.41 |    100.39
185 |         7.00 |           4032 |      7.011 |          13 |      3 |     16 |     98.43 |    100.12
186 |         7.00 |           5987 |      7.008 |           1 |      2 |      3 |     99.63 |    100.10
187 |         7.00 |           1845 |      7.002 |           4 |      1 |      5 |     98.57 |    100.13
188 |         7.00 |           1392 |      7.008 |           2 |      0 |      2 |     99.81 |    100.51
189 |         7.00 |           1015 |      7.017 |           3 |      1 |      4 |     98.98 |    100.09
190 |         7.00 |           1514 |      7.005 |           2 |      1 |      3 |     98.99 |    100.00
191 |         7.00 |           7338 |      7.004 |           4 |      2 |      6 |     99.63 |    100.43
192 |         7.00 |           4039 |      7.006 |           6 |      2 |      8 |     99.34 |    100.29
193 |         7.00 |           2109 |      7.012 |           3 |      0 |      3 |     99.16 |    100.03
194 |         7.00 |           1491 |      7.004 |          10 |      1 |     11 |     99.10 |    100.60
195 |         7.00 |            999 |      7.012 |           5 |      0 |      5 |     99.60 |    100.49
196 |         7.00 |           1641 |      7.000 |           5 |      0 |      5 |     99.86 |    100.58
197 |         7.00 |           4400 |      7.010 |           2 |      0 |      2 |     99.34 |     99.99
198 |         7.00 |           1850 |      7.002 |           3 |      0 |      3 |     99.77 |    100.26
199 |         7.00 |           2162 |      7.005 |           2 |      1 |      3 |     99.93 |    100.54
200 |         7.00 |           1665 |      7.001 |           4 |      0 |      4 |     99.33 |    100.15
201 |         7.00 |           1995 |      7.000 |           3 |      0 |      3 |     99.34 |    100.12
202 |         7.00 |          16513 |      7.000 |           3 |      4 |      7 |     98.62 |    100.15
203 |         7.00 |           2501 |      7.001 |           3 |      0 |      3 |     99.76 |    100.44
204 |         7.00 |           7786 |      7.005 |           1 |      1 |      2 |     99.92 |    100.54
205 |         7.00 |           2949 |      7.001 |           3 |      1 |      4 |     98.83 |    100.03
206 |         7.00 |           8462 |      7.002 |           3 |      1 |      4 |     99.98 |    100.78
207 |         7.00 |           2452 |      7.001 |           9 |      1 |     10 |     99.82 |    100.75
208 |         7.00 |           1137 |      7.012 |           4 |      1 |      5 |     99.86 |    100.50
209 |         7.00 |          10307 |      7.024 |          20 |      4 |     24 |     99.14 |    101.58
210 |         7.00 |           5486 |      7.007 |           6 |      0 |      6 |     99.20 |    100.10
211 |         7.00 |           1392 |      7.005 |           5 |      0 |      5 |     99.90 |    101.03
212 |         7.00 |           4849 |      7.011 |           4 |      1 |      5 |     99.03 |    100.00
213 |         7.00 |           4091 |      7.002 |           3 |      0 |      3 |     99.82 |    100.79
214 |         7.00 |           3748 |      7.002 |           3 |      1 |      4 |     99.88 |    100.78
215 |         7.00 |           5087 |      7.004 |           1 |      1 |      2 |     99.86 |    100.78
216 |         7.00 |           2000 |      7.005 |           1 |      0 |      1 |     99.81 |    100.15
217 |         7.00 |           1323 |      7.019 |           3 |      1 |      4 |     98.81 |    100.07
218 |         7.00 |           1114 |      7.000 |           8 |      0 |      8 |     98.73 |    100.19
219 |         7.00 |           9593 |      7.010 |           0 |      1 |      1 |     99.66 |    100.06
220 |         7.00 |           4302 |      7.003 |           5 |      2 |      7 |     99.65 |    100.39
221 |         7.00 |           1963 |      7.012 |           1 |      1 |      2 |     99.90 |    100.55
222 |         7.00 |           1913 |      7.007 |           5 |      0 |      5 |     99.76 |    101.16
223 |         7.00 |           2587 |      7.002 |           4 |      0 |      4 |     99.79 |    100.79
224 |         7.00 |           7564 |      7.007 |           1 |      3 |      4 |     99.62 |    100.60
225 |         7.00 |           3557 |      7.013 |           2 |      1 |      3 |     99.22 |    100.02
226 |         7.00 |           2357 |      7.002 |           6 |      1 |      7 |     99.75 |    100.67
227 |         7.00 |           7083 |      7.008 |           1 |      0 |      1 |     99.88 |    100.27
228 |         7.00 |          15244 |      7.028 |           2 |      9 |     11 |     99.60 |    101.04
229 |         7.00 |           1100 |      7.011 |           2 |      0 |      2 |     99.43 |    100.20
230 |         7.00 |          14674 |      7.002 |           3 |      1 |      4 |     98.97 |    100.22
231 |         7.00 |           2637 |      7.016 |           2 |      0 |      2 |     99.50 |    100.09
233 |         7.00 |           1590 |      7.003 |           3 |      0 |      3 |     99.97 |    100.57
234 |         7.00 |           6648 |      7.008 |           5 |      4 |      9 |     99.66 |    100.90
235 |         7.00 |           4273 |      7.002 |           6 |      1 |      7 |     99.22 |    100.40
236 |         7.00 |           3122 |      7.001 |           1 |      2 |      3 |     99.99 |    100.78
237 |         7.00 |           4915 |      7.005 |           5 |      4 |      9 |     99.66 |    100.68
238 |         7.00 |           1335 |      7.005 |           5 |      2 |      7 |     99.55 |    100.50
239 |         7.00 |           1723 |      7.007 |           4 |      1 |      5 |     99.76 |    100.93
240 |         7.00 |          11164 |      7.003 |           3 |      1 |      4 |     99.43 |    100.29
241 |         7.00 |           2322 |      7.005 |           4 |      0 |      4 |     99.94 |    100.29
242 |         7.00 |           2432 |      7.002 |           4 |      1 |      5 |     99.83 |    100.64
243 |         7.00 |           6825 |      7.001 |           3 |      1 |      4 |     99.71 |    100.40
244 |         7.00 |           1514 |      7.007 |           4 |      1 |      5 |     99.92 |    101.62
245 |         7.00 |           8828 |      7.004 |           1 |      1 |      2 |     99.58 |    100.19
246 |         7.00 |           2335 |      7.003 |           2 |      1 |      3 |     99.57 |    100.19
247 |         7.00 |           2278 |      7.002 |           2 |      0 |      2 |     99.99 |    100.75
248 |         7.00 |           9144 |      7.002 |           2 |      2 |      4 |     98.86 |    100.02
249 |         7.00 |           1254 |      7.002 |           3 |      0 |      3 |     99.59 |    100.18
250 |         7.00 |           4737 |      7.008 |           2 |      1 |      3 |     99.99 |    100.52
251 |         7.00 |           3352 |      7.003 |           7 |      1 |      8 |     99.84 |    100.85
252 |         7.00 |           1711 |      7.006 |           5 |      0 |      5 |     99.82 |    101.81
253 |         7.00 |           1738 |      7.008 |           3 |      1 |      4 |     99.46 |    100.14
254 |         7.00 |           1144 |      7.010 |           1 |      0 |      1 |     99.65 |    100.21
255 |         7.00 |           1132 |      7.018 |           5 |      1 |      6 |     99.35 |    100.43
256 |         7.00 |           9940 |      7.000 |           2 |      4 |      6 |     99.74 |    100.68
257 |         7.00 |           1569 |      7.007 |           5 |      1 |      6 |     99.99 |    101.82
258 |         7.00 |           7172 |      7.002 |           3 |      1 |      4 |     99.29 |    100.31
259 |         7.00 |           9742 |      7.006 |           2 |      0 |      2 |     99.50 |    100.20
260 |         7.00 |           4719 |      7.000 |           3 |      3 |      6 |     99.94 |    100.95
261 |         7.00 |           2564 |      7.019 |           5 |      2 |      7 |     99.60 |    100.96
262 |         7.00 |           8318 |      7.007 |           6 |      1 |      7 |     98.44 |    100.02
263 |         7.00 |           1535 |      7.015 |           9 |      2 |     11 |     99.01 |    100.10
264 |         7.00 |           3433 |      7.002 |           3 |      3 |      6 |     99.99 |    100.72
265 |         7.00 |           6418 |      7.007 |           3 |      1 |      4 |     99.48 |    100.49
266 |         7.00 |          12217 |      7.009 |           1 |      4 |      5 |     99.67 |    100.16
267 |         7.00 |           5995 |      7.002 |           1 |      0 |      1 |     99.54 |    100.16
268 |         7.00 |           5247 |      7.002 |           2 |      1 |      3 |     99.86 |    100.32
269 |         7.00 |           2110 |      7.001 |           1 |      0 |      1 |     99.76 |    100.23
270 |         7.00 |           9546 |      7.012 |           1 |      0 |      1 |     99.80 |    100.28
271 |         7.00 |           1768 |      7.012 |           3 |      0 |      3 |     99.68 |    100.28
272 |         7.00 |           1071 |      7.005 |           2 |      1 |      3 |     99.68 |    100.33
273 |         7.00 |           3024 |      7.014 |           1 |      0 |      1 |     99.53 |    100.23
274 |         7.00 |           1476 |      7.006 |           2 |      0 |      2 |     99.97 |    100.30
275 |         7.00 |           2903 |      7.004 |          10 |      0 |     10 |     98.06 |    100.18
276 |         7.00 |           6883 |      7.008 |           5 |      0 |      5 |     99.21 |    100.22
277 |         7.00 |           1332 |      7.009 |          12 |      1 |     13 |     98.08 |    100.13
278 |         7.00 |           2345 |      7.003 |           0 |      0 |      0 |     99.84 |    100.09

Days with ADX Hit: 276
Average Best Threshold: 7.00
Average Missed: 1.25

==============================================================================================================
SECTION B — Days where ADX never reached 80.0
==============================================================================================================
Day | ADX Max | Missed | Total | Price Min | Price Max
----|----------|--------|--------|-----------|----------
 32 |    6.924 |      0 |      0 |     99.94 |    100.24
103 |    6.043 |      0 |      0 |    100.01 |    100.18
232 |    6.824 |      4 |      4 |     99.91 |    100.84

Days without ADX ≥ 80.0: 3
Average ADX Max (No Hit): 6.60

==============================================================================================================
OVERALL SUMMARY
==============================================================================================================
Total Missed: 348
Total Considered: 1268
Total Pairs: 1616
Average Total Pairs/Day: 5.79
==============================================================================================================
END OF REPORT
==============================================================================================================
